"<ID>";"N0 =: Nhum";"N0 =: le fait Qu P";"N0 =: V1-inf W";"<ENT>Ppv";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 V";"N0 être V-ant W";"N0 être V-able W";"N0 être V-eux W";"N0 être V-(eur+ateur) W";"N1 =: Nabs";"N1 =: le fait Qu P";"N1 se V de ce Qu P";"N1 se V auprès de N3hum de ce Qu P";"N1 être Vpp de ce Qu P";"[passif par]";"[passif de]";"N0 V N1 contre N2hum";"<OPT>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"56";"+";"+";"+";"<E>";"-";"assombrir";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"Que Max l'ait quittée a assombri Ida"
"57";"+";"+";"+";"<E>";"-";"assommer";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"Qu'Ida ait chanté a assommé Max"
"58";"+";"+";"+";"<E>";"-";"assommer";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"Qu'Ida soit partie a assommé Max"
"59";"+";"+";"+";"<E>";"-";"assouplir";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"Qu'il ait tant souffert a assoupli Max"
"60";"+";"+";"+";"<E>";"-";"assouvir";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"Que Max ait disparu a assouvi Luc"
"61";"-";"+";"+";"<E>";"-";"assurer";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"Qu'il ait été élu assure Max"
"62";"+";"+";"+";"<E>";"-";"asticoter";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"Que Luc soit parti a asticoté Max"
"63";"+";"+";"+";"<E>";"-";"atteindre";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"Que Max l'ait quittée atteint Ida"
"64";"-";"+";"+";"<E>";"-";"attendre";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Qu'il soit puni attend Max"
"65";"+";"+";"+";"<E>";"-";"attendrir";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"Que Max soit resté a attendri Ida"
