"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"N0 =: V-inf W";"N0 être V-n";"N0 =: Npl obl";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: en figé";"<ENT>V";"N0 V";"Aux =: avoir";"Aux =: être";"N0 être V-ant";"N0 être Vpp";"N0pc lui V W";"N0 V de N0pc";"N0 V Loc N1 source";"N0 V Loc N2 destination";"trajet";"de combien ?";"Loc N1 =: de N1 source";"Loc N1 =: Loc N1 source, Loc # de";"Loc N1 = Ppv =: en";"N0 V N1 source";"N0 V N2 destination";"Loc N2 =: dans N2 destination";"Loc N2 =: sur N2 destination";"Loc N2 =: contre N2 destination";"Loc N2 =: à N2 destination";"Loc N2 =: vers N2 destination";"autre Loc2";"Loc N2 = Ppv =: y";"N0 lui V Loc (N1pc+N2pc)";"N0 V Prép N0pc";"(N1+N2) =: le fait Qu P";"(N1+N2) être V-n";"N0 être V-ant Prép (N1+N2)";"[extrap]";"N0 =: idée, (N1+N2) =: esprit";"N0 =: Nhum, (N1+N2) =: Nabs";"il V Qu P W";"N0 être V-n (forme V-n)";"(N1+N2) être V-n (forme V-n)";"<OPT>"
"62";"+";"+";"-";"-";"-";"-";"<E>";"-";"-";"progresser";"+";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"La troupe progresse vers Eu"
"63";"~";"~";"~";"~";"~";"~";"se";"+";"-";"propager";"~";"-";"+";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Les nouvelles ce sont propagées partout"
"64";"+";"-";"-";"-";"-";"-";"<E>";"-";"-";"rayonner";"+";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"<E>";"<E>";"La chaleur rayonne de ce radiateur"
"65";"-";"+";"-";"-";"-";"-";"<E>";"-";"-";"rebondir";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"+";"+";"+";"-";"+";"~";"+";"+";"+";"-";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"La balle a rebondi sur le mur"
"66";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"refluer";"~";"+";"-";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"L'eau reflue vers la bonde"
"67";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"régresser";"~";"+";"-";"~";"~";"~";"~";"-";"+";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"L'eau régresse de 3 à 1mètre"
"68";"-";"+";"-";"-";"-";"-";"<E>";"-";"-";"rejaillir";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"~";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"<E>";"<E>";"L'eau a rejailli (sur le mur+du robinet)"
"69";"~";"~";"~";"~";"~";"~";"se";"+";"-";"répandre";"~";"-";"+";"~";"~";"~";"~";"-";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Paul se répand dans les médias"
"70";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"retomber";"~";"+";"-";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"La balle est retombée sur la tête de Max"
"71";"~";"~";"~";"~";"~";"~";"s'en";"+";"+";"revenir";"~";"-";"+";"~";"~";"~";"~";"+";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max s'en revient de(Lyon+guerre)"
