"<ID>";"N2 V N1";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"Ppv =: le";"N0 V N1";"N0 V N2";"N0 V N1 comme N2";"N2 =: Nhum";"N0 V N1 de V-n";"N2 =: Npr";"N2 =: Adj";"N0 V N1 de N-hum";"N0 V N1 Loc N-hum";"N1 être Vpp (statique)";"N2 =: Dnum Nmes";"N0 V N1 de V-n (forme V-n)";"<OPT>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"65";"-";"<E>";"payer";"+";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"<E>";"Max a payé sa voiture 10.000 Frs|à Luc|"
"66";"-";"<E>";"placer";"+";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"-";"-";"-";"+";"+";"-";"place";"Ida a placé son fils(E+comme)cuisinier(E+au château)"
"67";"-";"<E>";"plébisciter";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"<E>";"Le peuple a plébiscité Max président"
"68";"~";"<E>";"porter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";" Porter un élève(absent+présent+manquant)"
"69";"~";"<E>";"préférer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Je préfère le vin chambré"
"70";"-";"<E>";"prénommer";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"prénom";"Max a prénommé son fils(E+du prénom de)Luc"
"71";"-";"<E>";"proclamer";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"<E>";"Le jury a proclamé Max innocent"
"72";"-";"<E>";"promouvoir";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"+";"+";"-";"promotion";"Luc a promu Max chef de rayon"
"73";"-";"<E>";"prononcer";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"<E>";"Luc prononce les 's' 'z'"
"74";"~";"<E>";"propulser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"On a propulsé Max(E+comme)directeur"
"75";"-";"<E>";"qualifier";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"<E>";"Cette formation a qualifié Max ingénieur"
"76";"-";"<E>";"recevoir";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"<E>";"On a reçu Max bachelier"
