"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"N0 =: le fait de V1-inf W";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 V";"N0 V contre Nhum";"N0 V après Nhum";"N1 =: Qu Pind";"Qu P = V0-inf W";"N1 =: Qu P = Aux V0-inf W";"Qu P = de V0-inf W";"N1 = (N) (V-ant W)";"N1 = (N) (V-inf W)";"N1 = (N) (être Adj)";"N0 V (être Adj) (Qu P)";"Qu N0 V (être Adj)";"N1 = (N) (Adj)";"N0 V (Adj) (Qu P)";"Qu N0 V (Adj)";"(Nég, interro) => subj";"impératif => subj";"N1 =: Qu Psubj";"Qu Psubj = V0-inf W";"Qu Psubj = de V0-inf W";"N1 =: si P ou si P";"N1 =: ce(ci+la)";"N1 =: Qu P = Ppv";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"N0 V N1 de N2hum";"N0 V N1 à ce Qu P";"[passif par]";"[passif de]";"<OPT>"
"1";"+";"-";"-";"-";"<E>";"-";"-";"abandonner";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"+";"+";"Paul a abandonné (E+l'idée)qu'on vienne le voir"
"2";"+";"+";"+";"-";"<E>";"-";"-";"abroger";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"Cette loi abroge que les prix soient affichés"
"3";"~";"~";"~";"~";"<E>";"-";"-";"accélérer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Les abus ont accéléré sa fin"
"4";"+";"-";"-";"-";"<E>";"-";"-";"accepter";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"Guy a accepté que Marie s'en aille"
"5";"+";"-";"-";"-";"<E>";"-";"-";"accueillir Advm";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"+";"Le public a bien accueilli que l'on supprime cette mesure"
"6";"+";"-";"-";"-";"<E>";"-";"-";"admettre";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"Max admet qu'il(a+ait)pu faire une erreur"
"7";"~";"~";"~";"~";"<E>";"-";"-";"admettre Advm";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max admet mal qu'on vienne le déranger"
"8";"+";"-";"-";"-";"<E>";"-";"-";"adopter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"Le gouvernement a adopté que l'essence augmenterait de 3 centimes"
"9";"+";"-";"-";"-";"<E>";"-";"-";"affabuler";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"Max a affabulé qu'il avait sauvé Marie d'un incendie"
"10";"+";"-";"-";"-";"<E>";"-";"-";"affecter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"Max affecte qu'il ne connaît pas la question"
"11";"+";"-";"-";"-";"<E>";"-";"-";"afficher";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"+";"-";"Max affiche qu'il est satisfait"
"12";"+";"-";"-";"-";"<E>";"-";"-";"agencer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"Max a agencé qu'Ida le retrouve"
"13";"+";"-";"-";"-";"<E>";"-";"-";"agréer";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"Le directeur a agrée que Max occupe ce poste"
"14";"+";"+";"+";"-";"<E>";"-";"-";"ajourner Advfut";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"Paul a ajourné (de trois jours+au lendemain)que l'on mette en ordre la salle"
"15";"+";"-";"-";"-";"<E>";"-";"-";"ambitionner";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"Max ambitionne que ses enfants réussissent"
"16";"+";"+";"+";"-";"<E>";"-";"-";"amener";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"Ces événements ont amené que Luc s'est plaint"
"17";"+";"-";"-";"-";"<E>";"-";"-";"analyser";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"-";"Max analysera si oui ou non Luc est capable de réussir"
"18";"+";"+";"+";"-";"<E>";"-";"-";"annuler";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"Cette loi annule pour les dames de payer la surtaxe"
"19";"+";"-";"-";"-";"<E>";"-";"-";"anticiper";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"Max a anticipé que Luc allait accepter"
"20";"+";"-";"-";"-";"<E>";"-";"-";"apercevoir";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"+";"Max a enfin aperçu que Luc le trompait"
"21";"+";"-";"-";"-";"<E>";"-";"-";"apprécier";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"Max appréciera si Luc peut venir ou non"
"22";"+";"-";"-";"-";"<E>";"-";"-";"appréhender";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"Max appréhende que Luc parte"
"23";"+";"-";"-";"-";"<E>";"-";"-";"appréhender";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"Max appréhendera si la chose est possible ou non"
"24";"+";"+";"+";"-";"<E>";"-";"-";"approfondir";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"Max approfondira s'il peut partir ou non"
"25";"+";"-";"-";"-";"s'";"+";"-";"appuyer";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"Max s'appuie de faire tout le travail"
"26";"+";"+";"+";"-";"<E>";"-";"-";"arbitrer";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"Max arbitrera si Luc peut vendre ou non"
"27";"+";"-";"-";"-";"<E>";"-";"-";"argumenter";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"Max a argumenté qu'il n'était pas libre"
"28";"+";"-";"-";"-";"<E>";"-";"-";"arrêter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"Max a arrêté qu'il agirait ainsi"
"29";"+";"-";"-";"-";"<E>";"-";"-";"arroser";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"Max a arrosé qu'il ait été nommé président"
"30";"+";"-";"-";"-";"<E>";"-";"-";"asserter";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"+";"-";"Max a asserté que(Dieu+la liberté)existe"
"31";"+";"-";"-";"-";"<E>";"-";"-";"assimiler";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"+";"+";"Max a bien assimilé qu'il devait faire ce travail"
"32";"+";"+";"+";"-";"<E>";"-";"-";"assumer";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"+";"-";"Max assume de se charger de tous ces travaux"
"33";"~";"~";"~";"~";"<E>";"-";"-";"assumer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max assume son échec"
"34";"+";"+";"+";"+";"<E>";"-";"-";"attendre";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"+";"Max attend que Luc ait fini"
"35";"~";"~";"~";"~";"<E>";"~";"~";"attendre";"~";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Les colis attendent d'être distribués"
"36";"~";"~";"~";"~";"<E>";"~";"~";"attendre";"~";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"J'attends que Paul ne me déçoive pas"
"37";"+";"+";"+";"-";"<E>";"-";"-";"atténuer";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"Ces mesures ont atténué que les paysans soient persécutés"
"38";"+";"-";"-";"-";"<E>";"-";"-";"ausculter";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"+";"-";"Max ausculte le marché financier"
"39";"+";"+";"+";"+";"<E>";"-";"-";"authentifier";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"+";"+";"+";"+";"-";"-";"+";"-";"Max a authentifié que Luc était présent à la réunion"
"40";"+";"+";"+";"-";"<E>";"-";"-";"autoriser";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"+";"-";"Max autorise que Luc parte"
"41";"~";"~";"~";"~";"<E>";"-";"-";"autoriser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Ce fait autorise que Luc parte"
"42";"+";"-";"-";"-";"<E>";"-";"-";"avaler";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"+";"-";"Max a avalé que Luc était parti"
"43";"~";"~";"~";"~";"ne";"-";"+";"avaler";"+";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max n'a pas avalé que Luc lui ait fait ce coup là"
"44";"+";"+";"+";"-";"<E>";"-";"-";"avaliser";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"+";"-";"Max a avalisé que Luc occupe ce poste"
"45";"+";"+";"+";"-";"<E>";"-";"-";"avancer Advfut";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"Max a avancé à demain de rencontrer Luc"
"46";"+";"-";"-";"-";"<E>";"-";"-";"avoir";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Qu' a Max?"
"47";"~";"~";"~";"~";"<E>";"-";"-";"bannir";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max bannit tout arrangement avec Luc"
"48";"+";"-";"-";"-";"<E>";"-";"-";"bitter";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"+";"+";"-";"Max a bitté  qu'il devait partir"
"49";"+";"-";"-";"-";"ne";"-";"+";"blairer";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"Max ne peut pas blairer qu'on le fasse partir"
"50";"+";"-";"-";"-";"<E>";"-";"-";"blasphémer";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"Max a blasphémé qu'il ne croyait plus"
"51";"+";"+";"+";"+";"<E>";"-";"-";"boycotter";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"+";"+";"Max boycotte que l'ont achète ces produits"
"52";"+";"-";"-";"-";"<E>";"-";"-";"briguer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"Max brigue qu'on lui accorde cet honneur"
"53";"+";"-";"-";"-";"<E>";"-";"-";"calculer";"-";"+";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"Max a calculé qu'Ida viendrait à six heures"
"54";"~";"~";"~";"~";"<E>";"-";"-";"calculer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max calculera si Ida peut venir ou non"
"55";"~";"~";"~";"~";"<E>";"-";"-";"calculer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max a calculé la solution"
"56";"+";"-";"-";"-";"<E>";"-";"-";"calligraphier";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"Max a calligraphié que la réunion n'aurait pas lieu"
"57";"~";"~";"~";"~";"<E>";"-";"-";"cauchemarder";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max a cauchemardé qu'il tombait dans le vide"
"58";"+";"+";"+";"-";"<E>";"-";"-";"causer";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"Que Max soit venu a causé qu'Ida soit partie"
"59";"+";"+";"+";"+";"<E>";"-";"-";"cautionner";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"Max a cautionné qu'Ida parte"
"60";"+";"+";"+";"+";"<E>";"-";"-";"célébrer";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"Max célèbre qu'Ida a gagné"
"61";"+";"+";"+";"+";"<E>";"-";"-";"changer";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"Ce fait change que Max ne viendra pas"
"62";"+";"-";"-";"-";"<E>";"-";"-";"choisir";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"Max a choisi que tout soit en ordre"
"63";"+";"-";"-";"-";"<E>";"-";"-";"chronométrer";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"-";"Max chronométrera si Luc peut arriver premier ou non"
"64";"~";"~";"~";"~";"<E>";"-";"-";"cinématographier";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Paul a cinématographié que Gabin embrassait Marie"
"65";"+";"+";"+";"+";"<E>";"-";"-";"clarifier";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"-";"Max clarifiera si Luc peut venir ou non"
"66";"+";"+";"+";"-";"<E>";"-";"-";"codifier";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"+";"Max a codifié que tous partiraient à dix heures"
"67";"+";"-";"-";"-";"<E>";"-";"-";"cogiter";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"Max cogitera si Luc peut venir ou non"
"68";"+";"-";"-";"-";"se";"+";"-";"cogner";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"Max s'est cogné de sortir les poubelles"
"69";"+";"-";"-";"-";"<E>";"-";"-";"colporter";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"Max a colporté que Luc était en faute"
"70";"+";"-";"-";"-";"se";"+";"-";"coltiner";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"Max se coltine de rentrer les poubelles"
"71";"~";"~";"~";"~";"<E>";"-";"-";"combiner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max a combiné de partir tôt"
"72";"+";"+";"+";"-";"<E>";"-";"-";"commémorer";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"On a commémoré que la ville avait été libérée"
"73";"+";"-";"-";"-";"<E>";"-";"-";"comprendre";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"+";"+";"+";"Max a compris qu'Ida était coupable à cet indice"
"74";"+";"-";"-";"-";"<E>";"-";"-";"compter";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max compte que tout (aille+ira) bien"
"75";"+";"-";"-";"-";"<E>";"-";"-";"compter";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"Max a compté qu'il restait 100 fr. dans la caisse"
"76";"+";"-";"-";"-";"<E>";"-";"-";"conceptualiser";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"+";"-";"Max conceptualise que Luc a réussi"
"77";"+";"-";"-";"-";"<E>";"-";"-";"concevoir Advm";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"+";"-";"Max conçoit bien que Léa fasse ça"
"78";"+";"-";"-";"-";"<E>";"-";"-";"concocter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"Max concocte que tout soit en ordre"
"79";"~";"~";"~";"~";"<E>";"-";"-";"concrétiser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Les résultats concrétisent que Max est le meilleur"
"80";"+";"+";"+";"-";"<E>";"-";"-";"condamner";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"Max condamne qu'on puisse prendre de telles décisions"
"81";"~";"~";"~";"~";"<E>";"-";"-";"confirmer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Cette expérience confirme que l'hypothèse est bonne"
"82";"+";"-";"-";"-";"<E>";"-";"-";"conquérir";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"Max a conquis qu'on le laisse en paix"
"83";"+";"+";"+";"-";"<E>";"-";"-";"considérer";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"-";"Max considère que Luc est incompétent"
"84";"+";"-";"-";"-";"<E>";"-";"-";"constater";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"+";"-";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"-";"Max constate que Luc est en faute"
"85";"+";"-";"-";"-";"<E>";"-";"-";"contempler";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"Max contemple combien tout est beau"
"86";"+";"-";"-";"-";"<E>";"-";"-";"contester";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"Max conteste qu'il soit responsable"
"87";"+";"+";"+";"-";"<E>";"-";"-";"contredire";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"Cette loi contredit que l'on puisse s'installer ici"
"88";"+";"-";"-";"-";"<E>";"-";"-";"contresigner";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"+";"+";"Max a contresigné que tout était en ordre"
"89";"+";"-";"-";"-";"<E>";"-";"-";"contrôler";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"-";"+";"-";"Max a contrôlé que Luc était ici"
