"<ID>";"N0 lieu source de N1";"N0 lieu de destination de N1";"N1 V W";"N2 V N1";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 dé-V N1 Prép N2 source";"N0 dé-V N1 Loc N3 nv-dest";"N1 être V-n";"N0 V N2 (E+de N1)";"Loc N2 =: dans N2 destination";"Loc N2 =: sur N2 destination";"Loc N2 =: contre N2 destination";"Loc N2 =: à N2 destination";"Loc N2 =: vers N2 destination";"Loc N2 = Ppv =: y";"N2 être V-n";"N1 être Vpp (statique)";"N1 =: Nconc métaphore";"N1 =: mot, N2 =: texte";"N1 =: idée, N2 =: esprit";"N0 V N1abs Loc N2abs";"N0 V N1hum Loc N2abs";"N1 =: Qu P métaphore";"N1 être V-n (forme V-n)";"N2 être V-n (forme V-n)";"<OPT>"
"20";"-";"-";"-";"-";"<E>";"avachir";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max avachit sa grande carcasse dans le fauteuil"
"21";"-";"-";"-";"-";"<E>";"baser";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";"base";"Les russes ont basé des troupes à Kiev"
"22";"-";"-";"-";"-";"<E>";"caser";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"<E>";"case";"Max a casé sa soeur à un ami"
"23";"-";"+";"-";"+";"<E>";"charger";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"chargement";"<E>";"Le chauffeur a chargé un client dans sa voiture"
"24";"-";"-";"-";"-";"<E>";"coffrer";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"<E>";"coffre";"La police a coffré Max à la Santé"
"25";"-";"+";"-";"-";"<E>";"convier";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"convive";"<E>";"Max convie Luc à(une soirée+ce repas)"
"26";"-";"+";"-";"+";"<E>";"convoquer";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max convoque (le comité+l'assemblée générale)au siège"
"27";"-";"+";"+";"+";"<E>";"coucher";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";"couche";"Max couche les enfants dans leur chambre"
"28";"-";"+";"+";"-";"<E>";"crécher";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";"crèche";"Luc a créché Max chez moi"
"29";"-";"-";"-";"-";"<E>";"crucifier";"+";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"crucifié";"croix";"On a crucifié les esclaves sur une croix"
"30";"-";"-";"-";"-";"<E>";"défenestrer";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"<E>";"fenêtre";"Max a défenestré Luc du troisième étage"
"31";"-";"-";"-";"-";"<E>";"déférer";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"La police a déféré Max au parquet"
"32";"-";"-";"-";"-";"<E>";"dépêcher";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max dépêche Luc à Ida"
"33";"-";"-";"-";"-";"<E>";"déplacer";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"?";"place";"Ce match déplace les foules au stade"
"34";"-";"-";"-";"-";"<E>";"déposer";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a déposé Luc au coin de la rue"
"35";"-";"-";"-";"-";"<E>";"députer";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"député";"<E>";"Max députe Luc auprès d'Ida"
"36";"-";"-";"-";"-";"<E>";"écrouer";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";"?";"On a écroué Luc dans un pénitencier"
"37";"-";"-";"-";"-";"<E>";"embastiller";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"<E>";"bastille";"On a embastillé Luc dans une geôle sombre"
"38";"-";"+";"+";"-";"<E>";"embaucher";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a embauché Luc(à ce poste+dans l'équipe)"
"39";"-";"-";"-";"-";"<E>";"embrigader";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"<E>";"brigade";"On a embrigadé Max dans les parachutistes"
