"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"N0 =: V1-inf W";"N0 =: V2-inf W";"N0 =: V2c-inf W";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 V";"N0 V N1";"N1 =: Qu Pind";"N1 =: Qu P = Aux V0-inf W";"N1 =: Qu Psubj";"N1 =: de V0-inf W";"N1 =: de V2-inf W";"N1 =: de V2c-inf W";"N1 =: si P ou si P";"N1 =: ce(ci+la)";"N1 =: Qu P = Ppv";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"N1-hum = Ppv";"N1 être Vpp par N0";"N1 être Vpp de N0";"N0 être V-ant pour N1";"N0 V Prép N2";"Prép2";"N2 =: Nhum";"N2 =: N-hum";"Prép N2 =: à Nq";"Prép N2 =: dans Nq";"Prép N2 =: de Nq";"N1 être Vpp par N0 Prép N2";"N1 être Vpp de N0 Prép N2";"<OPT>"
"178";"+";"-";"-";"-";"-";"+";"<E>";"relever";"+";"-";"+";"+";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"Loc";"+";"+";"+";"-";"-";"-";"+";"Max a relevé dans ce texte que la terre tournait"
"179";"+";"-";"-";"-";"-";"-";"<E>";"rendre Advm";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"Loc";"-";"+";"-";"+";"-";"+";"-";"L'écrivain a bien rendu dans son livre(ce sentiment+que Léa était amoureuse)"
"180";"~";"~";"~";"~";"~";"~";"<E>";"renfermer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Loc";"~";"~";"~";"~";"~";"~";"~";"Max a renfermé dans un paragraphe que les choses empiraient"
"181";"+";"+";"+";"+";"-";"+";"<E>";"rentrer";"+";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"Loc";"-";"+";"-";"+";"-";"+";"-";"Max a rentré dans la tête de Luc que Léa est partie"
"182";"~";"~";"~";"~";"~";"~";"<E>";"répandre";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Loc";"~";"~";"~";"~";"~";"~";"~";"Max a répandu dans tout le village qu'Ida était partie"
"183";"+";"+";"+";"-";"+";"-";"<E>";"répercuter";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"sur";"+";"+";"-";"-";"-";"+";"-";"On répercute sur le prix de l'essence que le brut augmente"
"184";"+";"-";"-";"-";"-";"-";"<E>";"replacer";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"Loc";"-";"+";"-";"+";"-";"+";"-";"Max a replacé le fait que Luc avait agi ainsi dans(le cadre de l'époque+son contexte)"
"185";"~";"~";"~";"~";"~";"~";"<E>";"reporter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Loc";"~";"~";"~";"~";"~";"~";"~";"Max a reporté sur son grand livre que tout était en ordre"
"186";"~";"~";"~";"~";"~";"~";"~";"représenter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"pour";"~";"~";"~";"~";"~";"~";"~";"Ce travail représente pour Max qu'il gagnera des sous"
"187";"~";"~";"~";"~";"~";"~";"~";"représenter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Loc";"~";"~";"~";"~";"~";"~";"~";"Max a représenté dans cette pièce que les absents ont tort"
