"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"N0 =: V1-inf W";"N0 =: V2-inf W";"<ENT>Ppv";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 être V-ant";"N0 V";"N0 pousser V-n, Sfx = ment";"N0 pousser V-n, Sfx = E";"N0 V contre Nhum";"N0 V après Nhum";"N0 V N1";"N1 =: Qu Pind";"Qu P = V0-inf W";"N1 =: Qu P = Aux V0-inf W";"Qu P = de V0-inf W";"N1 = (N) (être Adj)";"N0 V (être Adj) (Qu P)";"Qu N0 V (être Adj)";"N1 = (N) (Adj)";"N0 V (Adj) (Qu P)";"Qu N0 V (Adj)";"(Nég, interro) => subj";"impératif => subj";"N1 =: Qu Psubj";"Qu Psubj = de V0-inf W";"Qu Psubj = de V2-inf W";"N1 =: si P ou si P";"N1 =: ce(ci+la)";"N1 =: Qu P = Ppv";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"N0 V à N2";"Prép N2hum = Ppv";"N2 =: N-hum";"Prép N2-hum = Ppv";"à N2 = là";"il être Vpp Prép N2 (E+par N0)";"N0 V N1 à N2 de Nhum";"à quoi N0 V N1";"N0 V à N2 : 'P'";"'P',V N0 à N2";"[passif par]";"[passif de]";"<OPT>"
"352";"+";"-";"-";"-";"-";"<E>";"-";"reprocher";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"Max reproche à Léa qu'elle soit en retard"
"353";"+";"+";"+";"-";"+";"<E>";"-";"réserver";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Max réserve à Luc qu'il ira à Limoges"
"354";"+";"-";"-";"-";"-";"<E>";"-";"ressasser";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max ressasse à Luc qu'il a fait la guerre"
"355";"~";"~";"~";"~";"~";"<E>";"-";"ressortir";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max a ressorti à Luc qu'il s'était trompé"
"356";"+";"+";"+";"-";"+";"<E>";"-";"résumer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"Max a résumé à Ida qu'elle était renvoyée"
"357";"+";"-";"-";"-";"-";"<E>";"-";"rétorquer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"+";"+";"+";"-";"Max rétorque à Léa qu'elle ne comprend rien"
"358";"+";"-";"-";"-";"-";"<E>";"-";"retransmettre";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Cet émetteur retransmet (la station+le match)aux frontaliers"
"359";"+";"-";"-";"-";"-";"<E>";"-";"revaloir";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Son succès a revalu à Max qu'il est riche"
"360";"+";"+";"+";"+";"+";"<E>";"-";"révéler";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max a révélé à Luc que Léa était partie"
"361";"+";"-";"-";"-";"-";"<E>";"-";"ricaner";"-";"+";"-";"+";"+";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max a ricané à Léa que Luc était bête"
"362";"+";"-";"-";"-";"-";"<E>";"-";"riposter";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"Max riposta à Léa qu'il n'était pas d'accord"
"363";"~";"~";"~";"~";"~";"<E>";"-";"rogner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max rogne contre (la situation + Léa) "
"364";"~";"~";"~";"~";"~";"<E>";"-";"rognonner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max rognonne contre Léa"
"365";"+";"-";"-";"-";"-";"<E>";"-";"ronchonner";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max ronchonne à Ida que le repas est froid"
"366";"+";"-";"-";"-";"-";"<E>";"-";"ronronner";"-";"+";"-";"+";"+";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Minet ronronne à Ida qu'il est content"
"367";"~";"~";"~";"~";"~";"<E>";"-";"rossignoler";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max rossignol un roman à Ida"
"368";"+";"-";"-";"-";"-";"<E>";"-";"roucouler";"-";"+";"-";"+";"+";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max roucoule à Ida qu'il l'aime"
"369";"+";"-";"-";"-";"-";"<E>";"-";"rugir";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max rugit à Ida qu'il est mécontent"
"370";"+";"-";"-";"-";"-";"<E>";"-";"sangloter";"-";"+";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Ida sanglote à Max qu'elle est malheureuse"
"371";"+";"-";"-";"-";"-";"<E>";"-";"scander";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max a scandé à Léa qu'elle devrait travailler"
"372";"-";"-";"-";"-";"-";"<E>";"-";"scintiller";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Le tableau scintille à Max que Léa a réussi"
"373";"~";"~";"~";"~";"~";"<E>";"-";"scribouiller";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max a scribouillé à Ida qu'elle lui achète du vin"
"374";"~";"~";"~";"~";"~";"<E>";"-";"sérénader";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Roméo sérénade à Ginette qu'il l'aime"
"375";"+";"-";"-";"-";"-";"<E>";"-";"seriner";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max serine à Ida qu'elle doit travailler"
"376";"+";"-";"-";"-";"-";"<E>";"-";"servir";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Max a servi |comme excuse|au chef qu'il était malade"
"377";"+";"-";"-";"-";"-";"<E>";"-";"siffler";"-";"+";"-";"+";"+";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max siffle à Luc qu'il vienne"
"378";"+";"-";"-";"-";"-";"<E>";"-";"siffloter";"-";"+";"-";"+";"+";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max sifflote à Ida qu'elle doit venir"
"379";"+";"+";"+";"+";"+";"<E>";"-";"signaler";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"Max signale à Luc que le train arrive"
"380";"+";"-";"-";"-";"-";"<E>";"-";"signifier";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"Max a signifié à Luc qu'il aurait à venir"
"381";"-";"-";"-";"-";"-";"<E>";"-";"sonner";"-";"+";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Le clairon sonne aux soldats qu'ils se lèvent"
"382";"+";"-";"-";"-";"-";"<E>";"-";"sortir";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max a sorti à Léa qu'elle avait tort"
"383";"+";"-";"-";"-";"-";"<E>";"-";"souffler";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max a soufflé à Luc que la terre était ronde"
"384";"+";"-";"-";"-";"-";"<E>";"-";"souhaiter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"Je souhaite à Paul qu'il réussisse"
"385";"+";"+";"+";"-";"+";"<E>";"-";"souligner";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"Max a souligné à Léa qu'elle devra travailler"
"386";"+";"+";"+";"+";"+";"<E>";"-";"soumettre";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max a soumis le projet que Luc doit venir à Bob"
"387";"+";"-";"-";"-";"-";"<E>";"-";"soupirer";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max soupire à Léa qu'il est fatigué"
"388";"+";"-";"-";"-";"-";"<E>";"-";"sous-entendre";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"Luc sous-entend à Marie qu'il l'aime"
"389";"+";"-";"-";"-";"-";"<E>";"-";"soutenir";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max soutient à Léa qu'elle a tord"
"390";"+";"-";"-";"-";"-";"<E>";"-";"soutirer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"Max a soutiré à Léa qu'elle viendrait"
"391";"+";"-";"-";"-";"-";"<E>";"-";"spécifier";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Zoé a spécifié à Léa qu'il fallait être habillé"
"392";"+";"+";"+";"-";"-";"<E>";"-";"stipuler";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Bob stipule à Léa(que ça coûte 100 F.+de faire ça)"
"393";"+";"-";"-";"-";"-";"<E>";"-";"striduler";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"La bestiole stridule à Max qu'elle a faim"
"394";"+";"+";"+";"-";"+";"<E>";"-";"suggérer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max suggère à Léa qu'elle boive moins"
"395";"+";"-";"-";"-";"-";"<E>";"-";"susurrer";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max susurre à Ida qu'il l'aime"
"396";"+";"-";"-";"-";"-";"<E>";"-";"taire";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"Max a tu qu'il était viré à Léa"
"397";"+";"-";"-";"-";"-";"<E>";"-";"tambouriner";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max tambourine à Luc qu'il veut entrer"
"398";"+";"-";"-";"-";"-";"<E>";"-";"tartiner";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max tartine à Ida qu'il a fait ceci et cela"
"399";"~";"~";"~";"~";"~";"<E>";"-";"télécopier";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max a télécopié à Léa que Luc arrive"
"400";"~";"~";"~";"~";"~";"<E>";"-";"télédiffuser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"On télédiffuse ce match sur la treizième chaîne"
"401";"+";"-";"-";"-";"-";"<E>";"-";"télégraphier";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"Max a télégraphié à Flo qu'elle vienne"
"402";"+";"-";"-";"-";"-";"<E>";"-";"téléphoner";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"Max a téléphoné Léa qu'elle vienne"
"403";"+";"-";"-";"-";"-";"<E>";"-";"téléviser";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Les médias ont télévisé aux provinces que Max a été élu"
"404";"+";"-";"-";"-";"-";"<E>";"-";"télexer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max a télexé à Ida qu'elle vienne"
"405";"+";"-";"-";"-";"-";"<E>";"-";"témoigner";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"Ce geste témoigne à Flo que Luc l'aime"
"406";"+";"-";"-";"-";"-";"<E>";"-";"tempêter";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max tempête à Ida que tout est en désordre"
"407";"+";"-";"-";"-";"-";"<E>";"-";"ténoriser";"-";"+";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Luc ténorise à Léa que nous sommes la garde montante"
"408";"~";"~";"~";"~";"~";"<E>";"-";"tictaquer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"L'horloge tictaque à Max que le temps passe"
"409";"+";"-";"-";"-";"-";"<E>";"-";"tintamarrer";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Les fêtards tintamarrent à Léa que le vin manque"
"410";"+";"-";"-";"-";"-";"<E>";"-";"tinter";"-";"+";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"La cloche tinte aux enfants qu'il faut rentrer"
"411";"+";"-";"-";"-";"-";"<E>";"-";"tintinnabuler";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"La clochette tintinnabule à Flo que le thé est prêt"
"412";"+";"-";"-";"-";"-";"<E>";"-";"tonitruer";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max tonitrue à Flo que le toréador prenne garde"
"413";"+";"-";"-";"-";"-";"<E>";"-";"tonner";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Max tonne à Flo que le ciel la punira"
"414";"+";"+";"+";"+";"+";"<E>";"-";"transférer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Max transfère à Luc(de+le rôle)fermer la porte"
"415";"+";"-";"-";"-";"-";"<E>";"-";"transmettre";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"Max a transmis à Luc qu'il devait venir"
"416";"+";"-";"-";"-";"-";"<E>";"-";"triller";"-";"+";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Le rossignol trille à Léa qu'il fait beau"
"417";"+";"-";"-";"-";"-";"<E>";"-";"trompeter";"-";"+";"-";"+";"-";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"Max trompette à l'assistance qu'il a gagné"
"418";"~";"~";"~";"~";"~";"<E>";"-";"tuber";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max a tubé à Flo qu'il arrivait demain"
"419";"+";"-";"-";"-";"-";"<E>";"-";"ululer";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Le Duc ulule à Bob qu'il approche"
"420";"+";"-";"-";"-";"-";"<E>";"-";"vagir";"-";"+";"-";"+";"+";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Le bébé vagit à Léa qu'il a faim"
"421";"-";"+";"+";"-";"+";"<E>";"-";"valoir";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Qu'elle ait menti a valu à Léa qu'elle a été puni"
"422";"+";"-";"-";"-";"-";"<E>";"-";"vanter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"Max vante à Flo que la solution est la meilleur"
"423";"+";"-";"-";"-";"-";"<E>";"-";"vasouiller";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"Bob a vasouillé à Flo qu'il n'était pas très sur"
