"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><avoir>";"Vsup = il y avoir";"Vop = mettre";"Vop = N-hum donner";"<ENT>Det1";"C1 =: Npc";"Det1 pluriel";"<ENT>C1";"<ENT>Prép2";"<ENT>Det2";"C2 =: Npc";"<ENT>C2";"Exemple"
"13";"+";"+";"-";"-";"<E>";"avoir";"+";"-";"+";"des";"-";"-";"  années de labeur";"derrière";"<E>";"-";"  Lui-0";"§a§des années de labeur derrière lui "
"14";"+";"+";"-";"-";"<E>";"avoir";"+";"-";"+";"des";"-";"-";"  années de N-hum";"derrière";"<E>";"-";"  Lui-0";"§a§des années de N-hum derrière lui "
"15";"+";"+";"-";"-";"<E>";"avoir";"+";"-";"+";"des";"-";"-";"  années de N-hum";"devant";"<E>";"-";"  Lui-0";"§a§des années de N-hum devant lui "
"16";"+";"+";"-";"-";"<E>";"avoir";"+";"-";"+";"des";"-";"-";"  années de travail";"devant";"<E>";"-";"  Lui-0";"§a§des années de travail devant lui "
"17";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"Dnum";"-";"-";"  ans";"et";"toutes Poss0";"+";"  dents";"§a§Dnum ans et toutes ses dents "
"18";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"-";"le";"-";"-";"  appartement";"à";"<E>";"-";"  payer";"§a§l'appartement à payer "
"19";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"une";"-";"-";"  araignée";"dans";"le";"+";"  plafond";"§a§une araignée dans le plafond "
"20";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"de le";"-";"-";"  argent";"en";"<E>";"-";"  caisse";"§a§de l'argent en caisse "
"21";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"de le";"-";"-";"  argent";"de";"<E>";"-";"  côté";"§a§de l'argent de côté "
"22";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"de le";"-";"-";"  argent";"devant";"<E>";"-";"  Lui-0";"§a§de l'argent devant lui "
"23";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"de le";"-";"-";"  argent";"sur";"<E>";"-";"  Lui-0";"§a§de l'argent sur lui "
"24";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"-";"de le";"-";"-";"  argent";"plein";"les";"-";"  poches";"§a§de l'argent plein les poches "
"25";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"-";"du vif-";"-";"-";"  argent";"dans";"les";"+";"  veines";"§a§du vif-argent dans les veines "
"26";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"+";"un";"-";"+";"  atout";"dans";"Poss0";"-";"  jeu";"§a§un atout dans son jeu "
"27";"+";"-";"-";"-";"<E>";"avoir";"+";"+";"+";"un";"-";"+";"  atout";"dans";"Poss0";"-";"  manche";"§a§un atout dans sa manche "
"28";"+";"-";"-";"-";"<E>";"avoir";"-";"+";"+";"tous les";"-";"-";"  atouts";"en";"<E>";"+";"  main";"§a§tous les atouts en main "
"29";"+";"-";"+";"-";"en";"avoir";"+";"-";"-";"<E>";"-";"-";"  autant";"à";"la";"-";"  adresse de Nhum";"§en a§autant à l'adresse de Nhum "
"30";"+";"-";"+";"-";"en";"avoir";"+";"-";"-";"<E>";"-";"-";"  autant";"à";"Poss";"-";"  service";"§en a§autant à Poss service "
