"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"<ENT>Prép2";"<ENT>Det2";"<ENT>C2";"N0 être Prép1 Det1 C1";"Prép1 C1 = où ?";"Exemple"
"92";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"jour";"dans";"Poss0";"comptes";"-";"-";"§être§à jour dans ses comptes "
"93";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"liberté";"sous";"<E>";"caution";"-";"-";"§être§en liberté sous caution "
"94";"-";"+";"-";"-";"<E>";"être";"en";"<E>";"ligne-";"depuis";"<E>";"Aix";"-";"-";"§être§en ligne-depuis Aix "
"95";"-";"+";"-";"-";"<E>";"être";"en";"<E>";"ligne-";"depuis";"<E>";"N-ville";"-";"-";"§être§en ligne-depuis N-ville "
"96";"-";"+";"-";"-";"<E>";"être";"en";"<E>";"location-";"<E>";"<E>";"vente";"-";"-";"§être§en location-vente "
"97";"+";"+";"-";"-";"<E>";"être";"à";"le";"marché";"à";"les";"puces";"-";"-";"§être§au marché aux puces "
"98";"+";"-";"-";"-";"<E>";"être";"entre";"le";"marteau";"et";"la";"enclume";"-";"-";"§être§entre le marteau et l'enclume "
"99";"+";"-";"-";"-";"<E>";"être";"dans";"la";"merde";"jusqu'à";"le";"cou";"-";"-";"§être§dans la merde jusqu'à le cou "
"100";"+";"-";"-";"-";"<E>";"être";"à";"une";"messe";"à";"la";"mémoire de N";"-";"+";"§être§à une messe à la mémoire de N "
"101";"+";"-";"-";"+";"n'";"être pas";"de";"le même";"milieu";"que";"<E>";"nous";"+";"-";"§n'est pas§du même milieu que nous "
"102";"-";"+";"+";"-";"<E>";"être";"à";"la";"mode";"de chez";"<E>";"nous";"+";"-";"§être§à la mode de chez nous "
"103";"+";"-";"-";"-";"<E>";"être";"par";"<E>";"monts";"et par";"<E>";"vaux";"-";"+";"§être§par monts et par vaux "
"104";"-";"+";"-";"-";"<E>";"être";"à";"la";"mord-moi";"<E>";"le";"noeud";"-";"-";"§être§à la mord-moi le noeud "
"105";"-";"+";"-";"-";"<E>";"être";"en";"<E>";"N-langue";"dans";"le";"texte";"-";"-";"§être§en N-langue dans le texte "
"106";"-";"+";"-";"-";"<E>";"être";"en";"<E>";"noir";"et";"<E>";"blanc";"-";"-";"§être§en noir et blanc "
"107";"+";"-";"-";"-";"<E>";"être";"comme";"le";"oiseau";"sur";"la";"branche";"-";"-";"§être§comme l'oiseau sur la branche "
"108";"+";"-";"-";"-";"<E>";"être";"comme";"un";"ours";"en";"<E>";"cage";"-";"-";"§être§comme un ours en cage "
"109";"+";"-";"-";"-";"<E>";"être";"à";"le";"pain sec";"et à";"la";"eau";"-";"-";"§être§au pain sec et à l'eau "
"110";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"paix";"avec";"Poss0";"âme";"-";"-";"§être§en paix avec son âme "
"111";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"paix";"avec";"Poss0";"conscience";"-";"-";"§être§en paix avec sa conscience "
"112";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"paix";"avec";"<E>";"Lui-0-même";"-";"-";"§être§en paix avec lui-même "
"113";"+";"-";"-";"-";"<E>";"être";"à";"la";"pêche";"à";"la";"grenouille";"-";"+";"§être§à la pêche à la grenouille "
"114";"+";"-";"-";"-";"<E>";"être";"à";"la";"pêche";"à";"le";"gros";"-";"+";"§être§à la pêche au gros "
"115";"+";"-";"-";"-";"<E>";"être";"à";"la";"pêche";"à";"le";"hareng";"-";"+";"§être§à la pêche à l'hareng "
"116";"+";"-";"-";"-";"<E>";"être";"à";"la";"pêche";"à";"le";"maquereau";"-";"+";"§être§à la pêche au maquereau "
"117";"+";"-";"-";"-";"<E>";"être";"à";"la";"pêche";"à";"la";"morue";"-";"+";"§être§à la pêche à la morue "
"118";"+";"-";"-";"-";"<E>";"être";"à";"la";"pêche";"à";"les";"moules";"-";"+";"§être§à la pêche aux moules "
"119";"+";"-";"-";"-";"<E>";"être";"à";"la";"pêche";"à";"le";"N-poisson";"+";"+";"§être§à la pêche au N-poisson "
"120";"+";"-";"-";"-";"<E>";"être";"à";"la";"pêche";"à";"la";"sardine";"-";"+";"§être§à la pêche à la sardine "
"121";"+";"-";"-";"-";"<E>";"être";"à";"la";"pêche";"à";"le";"thon";"-";"+";"§être§à la pêche au thon "
"122";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"pétard";"après";"<E>";"Lui-0-même";"-";"-";"§être§en pétard après lui-même "
"123";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"pétard";"contre";"<E>";"Lui-0-même";"-";"-";"§être§en pétard contre lui-même "
"124";"+";"-";"-";"-";"<E>";"être";"sans";"<E>";"peur";"et";"sans";"reproches";"-";"-";"§être§sans peur et sans reproches "
"125";"+";"+";"-";"-";"<E>";"être";"à";"la Dnum-ième";"place";"à";"le";"classement général";"-";"-";"§être§à la Dnum-ième place au classement général "
