"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"<ENT>Prép1";"<ENT>Det1";"C1 =: Npc0";"<ENT>C1";"N0 V Prép1 Det1 C1";"C1 =: C1 de Nhum";"C1 =: C1 de N-hum";"C1 de Nhum = Ppv-C1 =: lui-C1";"Det1 C1 de Nc = Poss C1";"Exemple"
"311";"-";"+";"-";"-";"-";"<E>";" rester";"dans";"les";"+";" pattes";"-";"+";"-";"+";"+";"§rester§dans les pattes "
"312";"+";"+";"-";"-";"-";"<E>";" retourner";"à";"le";"-";" état";"-";"+";"+";"-";"-";"§retourner§à l'état "
"313";"+";"-";"+";"-";"-";"se";" retourner";"sur";"le";"-";" passage";"-";"+";"-";"-";"+";"§se retourner§sur le passage "
"314";"+";"-";"-";"-";"-";"<E>";" revenir";"sur";"le";"-";" compte";"-";"+";"-";"-";"+";"§revenir§sur le compte "
"315";"-";"+";"-";"-";"-";"<E>";" revenir";"à";"le";"-";" esprit";"-";"+";"-";"+";"+";"§revenir§à l'esprit "
"316";"+";"-";"-";"-";"-";"<E>";" revenir";"à";"la";"-";" hauteur";"-";"+";"+";"-";"+";"§revenir§à l'hauteur "
"317";"-";"+";"-";"-";"-";"<E>";" revenir";"à";"la";"-";" mémoire";"-";"+";"-";"+";"+";"§revenir§à la mémoire "
"318";"+";"-";"-";"-";"-";"<E>";" rire";"à";"le";"+";" nez";"-";"+";"-";"+";"+";"§rire§au nez "
"319";"+";"-";"+";"-";"-";"se";" ruer";"à";"le";"-";" assaut";"+";"+";"+";"-";"-";"§se ruer§à l'assaut "
"320";"+";"-";"-";"-";"-";"<E>";" sauter";"à";"le";"-";" collet";"-";"+";"-";"+";"+";"§sauter§au collet "
"321";"+";"-";"-";"-";"-";"<E>";" sauter";"à";"le";"+";" cou";"-";"+";"-";"+";"+";"§sauter§au cou "
"322";"+";"-";"-";"-";"-";"<E>";" sauter";"à";"la";"+";" gorge";"-";"+";"-";"+";"+";"§sauter§à la gorge "
"323";"+";"-";"-";"-";"-";"<E>";" sauter";"à";"le";"+";" paf";"-";"+";"-";"+";"+";"§sauter§au paf "
"324";"+";"-";"-";"-";"-";"<E>";" servir";"dans";"les";"-";" rangs";"-";"+";"-";"-";"+";"§servir§dans les rangs "
"325";"+";"-";"-";"-";"-";"<E>";" siéger";"à";"la";"-";" droite";"-";"+";"-";"-";"+";"§siéger§à la droite "
"326";"-";"+";"-";"-";"-";"<E>";" siffler";"à";"les";"+";" oreilles";"-";"+";"-";"+";"+";"§siffler§aux oreilles "
"327";"+";"+";"+";"-";"-";"se";" situer";"dans";"la";"-";" perspective";"-";"+";"+";"+";"-";"§se situer§dans la perspective "
"328";"-";"+";"-";"-";"-";"<E>";" sortir";"de";"la";"+";" bouche";"-";"+";"-";"+";"+";"§sortir§de la bouche "
"329";"-";"+";"-";"-";"-";"<E>";" sortir";"de";"les";"-";" chaînes";"-";"-";"+";"-";"+";"§sortir§des chaînes "
"330";"-";"+";"-";"-";"-";"<E>";" sortir";"de";"les";"-";" chaînes de fabrication";"-";"-";"+";"-";"+";"§sortir§des chaînes de fabrication "
"331";"-";"+";"-";"-";"-";"<E>";" sortir";"de";"les";"-";" usines";"-";"-";"+";"-";"+";"§sortir§des usines "
"332";"+";"+";"-";"-";"-";"<E>";" subvenir";"à";"les";"-";" besoins";"-";"+";"-";"-";"+";"§subvenir§aux besoins "
"333";"+";"-";"-";"-";"-";"<E>";" succomber";"sous";"le";"-";" nombre";"+";"+";"+";"-";"+";"§succomber§sous le nombre "
"334";"+";"+";"-";"-";"-";"<E>";" succomber";"sous";"le";"-";" poids";"-";"-";"+";"-";"+";"§succomber§sous le poids "
"335";"-";"+";"-";"-";"-";"<E>";" suffir";"à";"le";"-";" bonheur";"-";"+";"-";"-";"+";"§suffir§au bonheur "
"336";"+";"-";"-";"-";"-";"<E>";" taper";"sur";"les";"+";" doigts";"-";"+";"-";"+";"+";"§taper§sur les doigts "
"337";"+";"+";"-";"-";"-";"<E>";" taper";"sur";"le";"+";" haricot";"-";"+";"-";"+";"-";"§taper§sur l'haricot "
"338";"+";"+";"-";"-";"-";"<E>";" taper";"dans";"le";"+";" oeil";"-";"+";"-";"+";"-";"§taper§dans l'oeil "
"339";"-";"+";"-";"-";"-";"<E>";" taper";"sur";"le";"+";" système";"-";"+";"-";"+";"-";"§taper§sur le système "
"340";"+";"-";"-";"-";"-";"<E>";" taper";"sur";"le";"-";" ventre";"-";"+";"-";"+";"-";"§taper§sur le ventre "
"341";"+";"-";"+";"-";"-";"se";" tenir";"à";"les";"-";" côtés";"-";"+";"-";"-";"+";"§se tenir§aux côtés "
"342";"+";"-";"+";"-";"-";"se";" tenir";"à";"le";"-";" large";"-";"+";"+";"-";"-";"§se tenir§au large "
"343";"+";"-";"+";"-";"-";"se";" tenir";"dans";"la";"-";" ombre";"+";"+";"-";"-";"+";"§se tenir§dans l'ombre "
"344";"+";"-";"-";"-";"-";"<E>";" tirer";"dans";"le";"+";" dos";"-";"+";"-";"+";"-";"§tirer§dans le dos "
"345";"+";"-";"-";"-";"-";"<E>";" tirer";"dans";"les";"+";" jambes";"-";"+";"-";"+";"-";"§tirer§dans les jambes "
"346";"+";"-";"-";"-";"-";"<E>";" tirer";"dans";"les";"+";" pattes";"-";"+";"-";"+";"+";"§tirer§dans les pattes "
"347";"+";"-";"-";"-";"-";"<E>";" tomber";"sous";"les";"-";" balles";"-";"+";"-";"-";"+";"§tomber§sous les balles "
"348";"-";"+";"-";"-";"-";"<E>";" tomber";"de";"la";"+";" bouche";"-";"+";"-";"-";"+";"§tomber§de la bouche "
"349";"+";"-";"-";"-";"-";"<E>";" tomber";"dans";"les";"+";" bras";"-";"+";"-";"+";"+";"§tomber§dans les bras "
"350";"+";"-";"-";"-";"-";"<E>";" tomber";"sous";"les";"-";" coups";"-";"+";"-";"-";"+";"§tomber§sous les coups "
"351";"-";"+";"-";"-";"-";"<E>";" tomber";"sous";"la";"+";" dent";"-";"+";"-";"+";"-";"§tomber§sous la dent "
"352";"-";"+";"-";"-";"-";"<E>";" tomber";"dans";"la";"-";" escarcelle";"-";"+";"-";"-";"+";"§tomber§dans l'escarcelle "
"353";"-";"+";"-";"-";"-";"<E>";" tomber";"de";"les";"+";" lèvres";"-";"+";"-";"-";"+";"§tomber§des lèvres "
