"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: le figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"N0 V";"V0-inf W";"Question indirecte";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"N1 =: Nhum";"N1 =: N-hum";"<ENT>V2";"<ENT>PrépDetv";"<ENT>Cv";"Nv =: Nhum";"Nv =: N-hum";"Exemple"
"178";"+";"+";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"lanterner";"<E>";"<E>";"+";"-";"§faire§lanterner "
"179";"+";"+";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"marcher";"le";"commerce";"-";"-";"§faire§marcher le commerce "
"180";"+";"+";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"marrer";"<E>";"<E>";"+";"-";"§faire§marrer "
"181";"+";"+";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"mentir";"le";"proverbe";"-";"-";"§faire§mentir le proverbe "
"182";"+";"+";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"mousser";"<E>";"<E>";"+";"+";"§faire§mousser "
"183";"+";"+";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"mousser";"<E>";"<E>";"+";"+";"§faire§mousser "
"184";"+";"+";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"en";"<E>";"<E>";"+";"-";"naître";"des";"doutes";"-";"-";"§faire§en naître des doutes "
"185";"+";"-";"+";"-";"-";"-";"se";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"oublier";"de";"<E>";"+";"-";"§se faire§oublier de "
"186";"+";"+";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"parler";"de";"Lui-0";"-";"-";"§faire§parler de lui "
"187";"+";"-";"-";"-";"-";"-";"<E>";" faire";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"passer";"Det";"enfant";"-";"-";"§faire§passer un enfant "
"188";"+";"+";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"à";"<E>";"<E>";"+";"-";"passer";"le";"goût du pain";"-";"-";"§faire§à passer le goût du pain "
"189";"+";"-";"-";"-";"-";"-";"<E>";" faire";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"passer";"la";"pilule";"-";"-";"§faire§passer la pilule "
"190";"-";"+";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"à";"<E>";"<E>";"+";"-";"penser";"<E>";"<E>";"+";"-";"§faire§à penser "
"191";"+";"-";"+";"-";"-";"-";"se";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"péter";"la";"sous-ventrière";"-";"-";"§se faire§péter la sous-ventrière "
"192";"+";"+";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"pousser";"<E>";"<E>";"-";"+";"§faire§pousser "
"193";"+";"-";"+";"-";"-";"-";"se";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"prier";"par";"<E>";"+";"-";"§se faire§prier par "
"194";"+";"-";"+";"-";"-";"-";"se";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"raccourcir";"<E>";"<E>";"-";"-";"§se faire§raccourcir "
"195";"+";"-";"+";"-";"-";"-";"se";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"ramasser";"<E>";"<E>";"-";"-";"§se faire§ramasser "
"196";"+";"-";"+";"-";"-";"-";"se";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"recevoir";"par";"<E>";"+";"-";"§se faire§recevoir par "
"197";"+";"-";"+";"-";"-";"-";"se";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"regarder";"<E>";"<E>";"-";"-";"§se faire§regarder "
"198";"+";"-";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"à";"<E>";"<E>";"-";"-";"regarder";"<E>";"plaisir";"-";"-";"§faire§à regarder plaisir "
"199";"+";"-";"+";"-";"-";"-";"se";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"+";"-";"remarquer";"par";"<E>";"-";"+";"§se faire§remarquer par "
"200";"-";"+";"-";"-";"-";"-";"<E>";" faire";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"rire";"<E>";"<E>";"+";"-";"§faire§rire "
