"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"Nc =: Nhum";"Nc =: N-hum";"N0 être Prép1 Det1 C1";"Det1 C1 de Nc = Poss C1";"Prép1 C1 = où ?";"Exemple"
"833";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"siècle";"-";"+";"-";"-";"-";"§être§au siècle "
"834";"-";"+";"+";"-";"-";"<E>";"être";"sous";"le";"signe";"-";"+";"-";"-";"-";"§être§sous le signe "
"835";"+";"-";"-";"-";"-";"<E>";"être";"à";"la";"solde";"+";"-";"-";"+";"-";"§être§à la solde "
"836";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"sommet";"-";"+";"+";"+";"+";"§être§au sommet "
"837";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"sommet";"-";"+";"+";"+";"-";"§être§au sommet "
"838";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"sortie";"-";"+";"+";"-";"+";"§être§à la sortie "
"839";"-";"+";"+";"-";"-";"<E>";"être";"à";"le";"sortir";"-";"+";"-";"-";"-";"§être§au sortir "
"840";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"source";"-";"+";"-";"+";"-";"§être§à la source "
"841";"+";"-";"-";"-";"-";"<E>";"être";"à";"la";"source";"-";"+";"+";"+";"-";"§être§à la source "
"842";"+";"-";"-";"-";"-";"<E>";"être";"à";"les";"sources";"-";"+";"+";"+";"-";"§être§aux sources "
"843";"-";"+";"+";"-";"-";"<E>";"être";"dans";"le";"souvenir";"+";"-";"-";"+";"-";"§être§dans le souvenir "
"844";"+";"+";"-";"-";"-";"<E>";"être";"en";"plein";"spectacle";"-";"+";"+";"-";"-";"§être§en plein spectacle "
"845";"+";"+";"-";"-";"-";"<E>";"être";"dans";"la";"sphère d'influence";"-";"+";"-";"-";"-";"§être§dans la sphère d'influence "
"846";"+";"+";"-";"-";"-";"<E>";"être";"à";"le dernier";"stade";"-";"+";"+";"-";"-";"§être§au dernier stade "
"847";"+";"+";"-";"-";"-";"<E>";"être";"à";"un certain";"stade";"-";"+";"+";"-";"-";"§être§à un certain stade "
"848";"+";"+";"-";"-";"-";"<E>";"être";"sous";"la";"subordination";"+";"+";"-";"+";"-";"§être§sous la subordination "
"849";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"sud";"-";"+";"+";"-";"+";"§être§au sud "
"850";"+";"+";"-";"-";"-";"<E>";"être";"dans";"le";"sud";"-";"+";"+";"-";"+";"§être§dans le sud "
"851";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"sud-est";"-";"+";"+";"-";"+";"§être§au sud-est "
"852";"+";"+";"-";"-";"-";"<E>";"être";"dans";"le";"sud-est";"-";"+";"+";"-";"+";"§être§dans le sud-est "
"853";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"sud-ouest";"-";"+";"+";"-";"+";"§être§au sud-ouest "
"854";"+";"+";"-";"-";"-";"<E>";"être";"dans";"le";"sud-ouest";"-";"+";"+";"-";"+";"§être§dans le sud-ouest "
"855";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"suite";"-";"+";"+";"+";"+";"§être§à la suite "
"856";"-";"+";"+";"-";"-";"<E>";"être";"dans";"la";"suite logique";"-";"+";"-";"+";"-";"§être§dans la suite logique "
"857";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"sujet";"+";"+";"-";"+";"-";"§être§au sujet "
