"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: y figé";"Ppv =: le figé";"Ppv =: la figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"N0 V";"N0 V Prép1 Det1 C1";"C1 =: Npc";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"<ENT>Prép2";"<ENT>Det2";"<ENT>C2";"N0 V Prép2 (Det2 C2+N2)";"N2 =: Npc";"N2 =: Nhum";"N2 =: N-hum";"Exemple"
"151";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" parler";"-";"-";"-";"de";"<E>";"choses";"et de";"<E>";"autres";"-";"-";"-";"-";"§parler§de choses "
"152";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" parler";"-";"-";"-";"de";"<E>";"corde";"dans";"la";"maison d'un pendu";"-";"-";"-";"-";"§parler§de corde "
"153";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" parler";"-";"-";"-";"de";"la";"pluie";"et de";"le";"beau temps";"-";"-";"-";"-";"§parler§de la pluie "
"154";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" parler";"-";"+";"-";"à";"le";"téléphone";"à";"<E>";"<E>";"+";"-";"+";"-";"§parler§au téléphone "
"155";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" parler";"-";"+";"-";"à";"le";"téléphone";"avec";"<E>";"<E>";"+";"-";"+";"-";"§parler§au téléphone "
"156";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" parler";"-";"-";"-";"à";"<E>";"tort";"et à";"<E>";"travers";"-";"-";"-";"-";"§parler§à tort "
"157";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" partir";"-";"+";"-";"à";"la";"attaque";"contre";"<E>";"<E>";"-";"-";"+";"+";"§partir§à l'attaque "
"158";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" partir";"-";"+";"-";"en";"<E>";"croisade";"contre";"<E>";"<E>";"-";"-";"+";"+";"§partir§en croisade "
"159";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" partir";"-";"+";"-";"en";"<E>";"guerre";"contre";"<E>";"<E>";"-";"-";"+";"+";"§partir§en guerre "
"160";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" passer";"-";"-";"-";"de";"le";"acte";"à";"la";"parole";"-";"-";"-";"-";"§passer§de l'acte "
"161";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";" passer";"-";"-";"-";"de";"<E>";"bouche";"en";"<E>";"bouche";"-";"-";"-";"-";"§passer§de bouche "
"162";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";" passer";"-";"-";"-";"de";"<E>";"bouche";"à";"<E>";"oreille";"-";"-";"-";"-";"§passer§de bouche "
"163";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" passer";"-";"-";"-";"de";"le";"coq";"à";"le";"âne";"-";"-";"-";"-";"§passer§du coq "
"164";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";" passer";"-";"-";"-";"de";"un";"extrême";"à";"le";"autre";"-";"-";"-";"-";"§passer§d'un extrême "
"165";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" passer";"-";"-";"-";"de";"les";"hauts";"et";"des";"bas";"-";"-";"-";"-";"§passer§des hauts "
"166";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";" passer";"-";"-";"-";"de";"<E>";"main";"en";"<E>";"main";"-";"-";"-";"-";"§passer§de main "
"167";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" passer";"-";"-";"-";"de";"la";"parole";"à";"les";"actes";"-";"-";"-";"-";"§passer§de la parole "
"168";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" passer";"-";"-";"-";"de";"<E>";"vie";"à";"<E>";"trépas";"-";"-";"-";"-";"§passer§de vie "
"169";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";" pendre";"-";"+";"+";"à";"le";"nez de Nhum";"comme";"un";"sifflet de deux ronds";"-";"-";"-";"-";"§pendre§au nez de Nhum "
"170";"+";"-";"+";"-";"-";"-";"-";"-";"se";" perdre";"-";"+";"-";"en";"<E>";"conjectures";"sur";"<E>";"<E>";"-";"-";"+";"+";"§se perdre§en conjectures "
"171";"+";"-";"+";"-";"-";"-";"-";"-";"se";" perdre";"-";"+";"-";"en";"<E>";"hypothèses";"sur";"<E>";"<E>";"-";"-";"+";"+";"§se perdre§en hypothèses "
"172";"+";"-";"+";"-";"-";"-";"-";"-";"se";" perdre";"-";"+";"-";"en";"<E>";"interrogations";"sur";"<E>";"<E>";"-";"-";"-";"+";"§se perdre§en interrogations "
"173";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" piquer";"-";"+";"+";"de";"le";"nez";"dans";"Poss0";"assiette";"-";"-";"-";"-";"§piquer§du nez "
"174";"+";"-";"+";"-";"-";"-";"-";"-";"se";" prendre";"-";"-";"-";"de";"<E>";"affection";"pour";"<E>";"<E>";"-";"-";"+";"+";"§se prendre§d'affection "
"175";"+";"-";"-";"+";"-";"-";"-";"-";"en";" prendre";"-";"-";"-";"à";"Poss0";"aise";"avec";"<E>";"<E>";"-";"-";"+";"+";"§en prendre§à son aise "
"176";"+";"-";"+";"-";"-";"-";"-";"-";"se";" prendre";"-";"-";"-";"de";"<E>";"amitié";"pour";"<E>";"<E>";"-";"-";"+";"+";"§se prendre§d'amitié "
"177";"+";"-";"+";"-";"-";"-";"-";"-";"se";" prendre";"-";"-";"-";"de";"Det";"amour";"pour";"<E>";"<E>";"-";"-";"+";"+";"§se prendre§d'un amour "
"178";"+";"-";"+";"-";"-";"-";"-";"-";"se";" prendre";"-";"-";"-";"à";"les";"cheveux";"avec";"<E>";"<E>";"-";"+";"+";"-";"§se prendre§aux cheveux "
"179";"+";"-";"+";"-";"-";"-";"-";"-";"se";" prendre";"-";"-";"-";"de";"<E>";"colère";"contre";"<E>";"<E>";"-";"-";"+";"+";"§se prendre§de colère "
"180";"+";"-";"+";"-";"-";"-";"-";"-";"se";" prendre";"-";"-";"-";"de";"<E>";"confiance";"pour";"<E>";"<E>";"-";"-";"+";"-";"§se prendre§de confiance "
"181";"+";"-";"+";"-";"+";"-";"-";"-";"s'y";" prendre";"-";"-";"-";"de";"Dind";"façon";"avec";"<E>";"<E>";"-";"-";"+";"-";"§s'y prendre§de Dind façon "
"182";"+";"-";"+";"-";"-";"-";"-";"-";"se";" prendre";"-";"-";"-";"de";"<E>";"fureur";"contre";"<E>";"<E>";"-";"-";"+";"+";"§se prendre§de fureur "
"183";"+";"-";"-";"+";"-";"-";"-";"-";"en";" prendre";"-";"+";"+";"plein";"la";"gueule";"pour";"pas un";"rond";"+";"-";"-";"-";"§en prendre§plein la gueule "
