"<ID>";"<ENT>Det0";"Det0 pluriel";"C0 =: Npc";"<ENT>C0";"C0 =: C0 de Nhum";"Ppv =: en figé";"Ppv =: me figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>est";"<ENT>Prép1";"C1 =: Npc";"C1 =: C1 de Nhum";"<ENT>Det1";"<ENT>C1";"Vop = avoir un";"Vop = N-hum donner";"Exemple"
"1";"le";"-";"-";" accent";"+";"-";"-";"-";"<E>";" être";" est";"de";"-";"-";"les";"faubourgs";"+";"+";"l'accent§est§des faubourgs "
"2";"Det";"-";"-";" accord";"-";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"vigueur";"-";"-";"un accord§est§en vigueur "
"3";"Det";"+";"-";" achat";"-";"-";"-";"-";"<E>";" être";" est";"sous";"-";"-";"<E>";"condition";"-";"-";"un achat§est§sous condition "
"4";"Det";"+";"-";" achat";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"la";"pièce";"-";"-";"un achat§est§à la pièce "
"5";"Det";"+";"-";" achat";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"la";"unité";"-";"-";"un achat§est§à l'unité "
"6";"les";"-";"-";" actions";"+";"-";"-";"-";"<E>";" être";" sont";"en";"-";"-";"<E>";"baisse";"+";"-";"les actions§sont§en baisse "
"7";"les";"-";"-";" actions";"+";"-";"-";"-";"<E>";" être";" sont";"en";"-";"-";"<E>";"hausse";"+";"-";"les actions§sont§en hausse "
"8";"le plus";"-";"-";" Adj";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"<E>";"faire";"-";"-";"le plus Adj§est§à fait "
"9";"le plus";"-";"-";" Adj";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"<E>";"venir";"-";"-";"le plus Adj§est§à venir "
"10";"le plus";"-";"-";" Adj des deux";"-";"-";"-";"+";"n'";" être pas";" est pas";"<E>";"-";"-";"<E>";"celui qu'on croit";"-";"-";"le plus Adj des deux§n'est pas§celui qu'on croit "
"11";"le plus";"-";"-";" Adj des deux";"-";"-";"-";"+";"n'";" être pas";" est pas";"<E>";"-";"-";"<E>";"celui qu'on pense";"-";"-";"le plus Adj des deux§n'est pas§celui qu'on pense "
"12";"le";"+";"-";" adversaire";"+";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"Poss0c";"hauteur";"+";"+";"l'adversaire§est§à sa hauteur "
"13";"le";"+";"-";" adversaire";"+";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"Poss0c";"taille";"+";"+";"l'adversaire§est§à sa taille "
"14";"la";"+";"-";" affaire";"+";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"délibéré";"-";"-";"l'affaire§est§en délibéré "
"15";"la";"-";"-";" affaire";"-";"-";"-";"-";"<E>";" être";" est";"dans";"-";"-";"le";"lac";"-";"-";"l'affaire§est§dans le lac "
"16";"Det";"-";"-";" affaire";"-";"-";"-";"-";"<E>";" être";" est";"dans";"+";"+";"les";"mains";"-";"-";"un affaire§est§dans les mains "
"17";"Det";"-";"-";" affaire";"-";"-";"-";"-";"<E>";" être";" est";"entre";"+";"+";"les";"mains";"-";"-";"un affaire§est§entre les mains "
"18";"le Dnum-ième";"-";"-";" coup";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"-";"le";"bon";"-";"-";"le Dnum-ième coup§est§le bon "
"19";"le plus";"-";"-";" dur";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"<E>";"faire";"-";"-";"le plus dur§est§à fait "
"20";"le plus";"-";"-";" dur";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"<E>";"venir";"-";"-";"le plus dur§est§à venir "
"21";"la Dnum-ième";"-";"-";" fois";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"-";"la";"bonne";"-";"-";"la Dnum-ième fois§est§la bonne "
"22";"le Dnum-ième";"-";"-";" N";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"-";"le";"bon";"-";"-";"le Dnum-ième N§est§le bon "
"23";"un";"-";"-";" N sans N";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"-";"une";"journée sans soleil";"-";"-";"un N sans N§est§une journée sans soleil "
"24";"un";"-";"-";" N sans N";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"-";"un";"N sans N";"-";"-";"un N sans N§est§un N sans N "
"25";"Det";"+";"-";" N-nourriture";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"la";"crème";"-";"-";"un N-nourriture§est§à la crème "
"26";"Det";"+";"-";" N-nourriture";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"la";"croque au sel";"-";"-";"un N-nourriture§est§à la croque au sel "
"27";"Det";"+";"-";" N-nourriture";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"la";"étuvée";"-";"-";"un N-nourriture§est§à l'étuvée "
"28";"Det";"+";"-";" N-nourriture";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"la";"orange";"-";"-";"un N-nourriture§est§à l'orange "
"29";"Det";"+";"-";" N-nourriture";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"la";"poële";"-";"-";"un N-nourriture§est§à la poële "
"30";"Det";"+";"-";" N-nourriture";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"la";"vapeur";"-";"-";"un N-nourriture§est§à la vapeur "
"31";"le";"+";"+";" Npc";"+";"-";"-";"-";"<E>";" être";" est";"dans";"-";"-";"le";"plâtre";"+";"-";"le Npc§est§dans le plâtre "
"32";"<E>";"-";"-";" Tel";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"-";"le";"N";"-";"-";"Tel§est§le N "
"33";"Det";"-";"-";" WC";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"la";"turque";"-";"-";"un WC§est§à la turque "
"34";"la";"-";"-";" affaire";"-";"-";"-";"-";"<E>";" être";" est";"dans";"-";"-";"le";"sac";"-";"-";"l'affaire§est§dans le sac "
"35";"Det";"-";"-";" affaire";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"<E>";"suivre";"-";"-";"un affaire§est§à suivre "
"36";"cet";"-";"-";" âge";"-";"-";"-";"-";"<E>";" être";" est";"sans";"-";"-";"<E>";"pitié";"-";"-";"cet âge§est§sans pitié "
"37";"le";"-";"-";" air";"+";"-";"-";"-";"<E>";" être";" est";"sans";"-";"-";"<E>";"expression";"+";"+";"l'air§est§sans expression "
"38";"le";"-";"+";" air";"+";"-";"-";"-";"<E>";" être";" est";"comme";"-";"-";"il";"faut";"+";"+";"l'air§est§comme il faut "
"39";"la";"-";"-";" âme";"+";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"<E>";"nu";"-";"-";"l'âme§est§à nu "
"40";"les";"-";"-";" amis de mes amis";"-";"-";"-";"-";"<E>";" être";" sont";"<E>";"-";"-";"mes";"amis";"-";"-";"les amis de mes amis§sont§mes amis "
"41";"les";"-";"-";" amis de nos amis";"-";"-";"-";"-";"<E>";" être";" sont";"<E>";"-";"-";"nos";"amis";"-";"-";"les amis de nos amis§sont§nos amis "
"42";"le";"-";"-";" angle de N avec N";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"+";"Dnum";"degré";"+";"-";"l'angle de N avec N§est§de Dnum degré "
"43";"le";"-";"-";" angle de N avec N";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"+";"Dnum";"grade";"+";"-";"l'angle de N avec N§est§de Dnum grade "
"44";"Det";"+";"-";" approximation";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"-";"le Dnum-ième";"ordre";"-";"-";"un approximation§est§du Dnum-ième ordre "
"45";"Det";"+";"-";" approximation";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"-";"le premier";"ordre";"-";"-";"un approximation§est§du premier ordre "
"46";"Det";"+";"-";" approximation";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"-";"le second";"ordre";"-";"-";"un approximation§est§du second ordre "
"47";"Det";"+";"-";" argument";"-";"-";"-";"-";"<E>";" être";" est";"en";"-";"+";"<E>";"faveur";"-";"-";"un argument§est§en faveur "
"48";"Det";"-";"-";" argument";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"double";"tranchant";"-";"-";"un argument§est§à double tranchant "
"49";"Det";"-";"-";" arme";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"double";"tranchant";"-";"-";"un arme§est§à double tranchant "
"50";"Det";"-";"-";" armée";"-";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"déroute";"-";"-";"un armée§est§en déroute "
"51";"les";"-";"-";" atouts";"+";"-";"-";"-";"<E>";" être";" sont";"dans";"+";"+";"Poss0c";"manche";"+";"-";"les atouts§sont§dans sa manche "
"52";"Det";"-";"-";" atterrissage";"-";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"douceur";"-";"-";"un atterrissage§est§en douceur "
"53";"<E>";"-";"-";" aujourd'hui";"-";"-";"-";"-";"<E>";" être";" est";"<E>";"-";"-";"un grand";"jour";"-";"-";"aujourd'hui§est§un grand jour "
"54";"Det";"-";"-";" autoroute";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"deux";"voies";"-";"-";"un autoroute§est§à deux voies "
"55";"Det";"-";"-";" autoroute";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"quatre";"voies";"-";"-";"un autoroute§est§à quatre voies "
"56";"Det";"-";"-";" autoroute";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"trois";"voies";"-";"-";"un autoroute§est§à trois voies "
"57";"le";"-";"-";" avenir";"+";"-";"-";"-";"<E>";" être";" est";"devant";"-";"-";"<E>";"Lui-0c";"+";"-";"l'avenir§est§devant luic "
"58";"le";"-";"-";" avenir";"+";"-";"-";"-";"<E>";" être";" est";"derrière";"-";"-";"<E>";"Lui-0c";"+";"-";"l'avenir§est§derrière luic "
"59";"le";"-";"-";" avenir";"+";"-";"-";"-";"<E>";" être";" est";"devant";"-";"-";"<E>";"Lui-0c";"+";"-";"l'avenir§est§devant luic "
"60";"le";"-";"-";" avenir";"+";"-";"-";"-";"<E>";" être";" est";"dans";"+";"+";"les";"mains";"+";"-";"l'avenir§est§dans les mains "
"61";"le";"-";"-";" avenir";"+";"-";"-";"-";"<E>";" être";" est";"entre";"+";"+";"les";"mains";"+";"-";"l'avenir§est§entre les mains "
"62";"le";"-";"-";" avenir";"+";"-";"-";"-";"<E>";" être";" est";"sans";"-";"-";"<E>";"nuage";"+";"-";"l'avenir§est§sans nuage "
"63";"la";"-";"-";" balle";"-";"-";"-";"-";"<E>";" être";" est";"dans";"-";"+";"le";"camp";"-";"-";"la balle§est§dans le camp "
"64";"la";"-";"+";" barbe";"+";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"broussaille";"+";"+";"la barbe§est§en broussaille "
"65";"le";"-";"-";" baromètre";"-";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"baisse";"-";"-";"le baromètre§est§en baisse "
"66";"le";"-";"-";" baromètre";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"le";"beau fixe";"-";"-";"le baromètre§est§au beau fixe "
"67";"le";"-";"-";" baromètre";"-";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"hausse";"-";"-";"le baromètre§est§en hausse "
"68";"le";"-";"-";" baromètre";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"la";"pLuie";"-";"-";"le baromètre§est§à la pLuie "
"69";"Det";"-";"-";" barre";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"Dnum";"<E>";"-";"-";"un barre§est§à Dnum "
"70";"les";"-";"-";" bas";"+";"-";"-";"-";"<E>";" être";" sont";"en";"-";"-";"<E>";"accordéon";"+";"-";"les bas§sont§en accordéon "
"71";"Det";"-";"-";" bois";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"la";"coupe";"-";"-";"un bois§est§à la coupe "
"72";"le";"-";"-";" bonheur";"+";"-";"-";"-";"<E>";" être";" est";"sans";"-";"-";"<E>";"mélange";"+";"-";"le bonheur§est§sans mélange "
"73";"le";"-";"-";" bonheur";"+";"-";"-";"-";"<E>";" être";" est";"sans";"-";"-";"<E>";"nuage";"+";"-";"le bonheur§est§sans nuage "
"74";"le";"-";"-";" bonheur";"+";"-";"-";"-";"<E>";" être";" est";"sans";"-";"-";"<E>";"nuages";"+";"-";"le bonheur§est§sans nuages "
"75";"la";"-";"-";" bonté";"+";"-";"-";"-";"<E>";" être";" est";"sans";"-";"-";"<E>";"borne";"+";"-";"la bonté§est§sans borne "
"76";"la";"-";"-";" bonté";"+";"-";"-";"-";"<E>";" être";" est";"sans";"-";"-";"<E>";"limite";"+";"-";"la bonté§est§sans limite "
"77";"la";"-";"+";" bouche";"+";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"coeur";"-";"-";"la bouche§est§en coeur "
"78";"la";"-";"+";" bouche";"+";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"cul de poule";"+";"+";"la bouche§est§en cul de poule "
"79";"la";"-";"+";" bouche";"+";"-";"-";"-";"<E>";" être";" est";"de";"-";"-";"<E>";"travers";"+";"+";"la bouche§est§de travers "
"80";"la";"-";"+";" boule";"+";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"<E>";"zéro";"-";"-";"la boule§est§à zéro "
"81";"les";"-";"+";" bras";"+";"-";"-";"-";"<E>";" être";" sont";"en";"-";"-";"<E>";"croix";"-";"-";"les bras§sont§en croix "
"82";"le";"+";"+";" bras";"+";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"écharpe";"+";"-";"le bras§est§en écharpe "
"83";"les deux";"+";"+";" bras";"+";"-";"-";"-";"<E>";" être";" sont";"en";"-";"-";"<E>";"écharpe";"+";"-";"les deux bras§sont§en écharpe "
"84";"le";"+";"+";" bras droit";"+";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"écharpe";"+";"-";"le bras droit§est§en écharpe "
"85";"le";"+";"+";" bras gauche";"+";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"écharpe";"+";"-";"le bras gauche§est§en écharpe "
"86";"Det";"-";"-";" brouillard";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"<E>";"couper au couteau";"-";"-";"un brouillard§est§à couper au couteau "
"87";"le";"-";"-";" brouillard";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"la";"origine de l'accident";"-";"-";"le brouillard§est§à l'origine de l'accident "
"88";"le";"-";"-";" brouillard";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"la";"origine du carambolage";"-";"-";"le brouillard§est§à l'origine du carambolage "
"89";"<E>";"-";"-";" ça";"-";"-";"-";"-";"<E>";" être";" sera";"<E>";"-";"-";"un";"café pour Max !";"-";"-";"ça§sera§un café pour Max! "
"90";"<E>";"-";"-";" ça";"-";"-";"-";"-";"<E>";" être";" sera";"<E>";"-";"-";"un";"demi pour Max !";"-";"-";"ça§sera§un demi pour Max! "
"91";"<E>";"-";"-";" ça";"-";"-";"-";"-";"<E>";" être";" sera";"<E>";"-";"-";"un";"N pour Nhum !";"-";"-";"ça§sera§un N pour Nhum! "
"92";"<E>";"-";"-";" ça";"-";"-";"-";"-";"<E>";" va être";" va être";"<E>";"-";"+";"la";"fête";"-";"-";"ça§va est§la fête "
"93";"le";"-";"+";" cadavre";"+";"-";"-";"-";"<E>";" être";" est";"dans";"-";"-";"un";"état de décomposition avancée";"-";"-";"le cadavre§est§dans un état de décomposition avancée "
"94";"le";"-";"+";" cadavre";"+";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"état de décomposition avancée";"-";"-";"le cadavre§est§en état de décomposition avancée "
"95";"la";"-";"-";" capacité";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"+";"Dnum";"microfarad";"+";"-";"la capacité§est§de Dnum microfarad "
"96";"la";"-";"-";" capacité";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"+";"Dnum";"personne";"+";"-";"la capacité§est§de Dnum personne "
"97";"la";"-";"-";" capacité";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"+";"Dnum";"place";"+";"-";"la capacité§est§de Dnum place "
"98";"la";"-";"-";" capacité";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"+";"Dnum";"siège";"+";"-";"la capacité§est§de Dnum siège "
"99";"la";"-";"-";" capacité";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"+";"Dnum";"voyageur";"+";"-";"la capacité§est§de Dnum voyageur "
"100";"Det";"-";"-";" capitulation";"-";"-";"-";"-";"<E>";" être";" est";"sans";"-";"-";"<E>";"condition";"-";"-";"un capitulation§est§sans condition "
"101";"Det";"-";"-";" capitulation";"-";"-";"-";"-";"<E>";" être";" est";"sans";"-";"-";"<E>";"conditions";"-";"-";"un capitulation§est§sans conditions "
"102";"le";"-";"-";" caractère";"+";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"or";"+";"-";"le caractère§est§en or "
"103";"Det";"-";"-";" carte";"-";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"fausses";"couleurs";"-";"-";"un carte§est§en fausses couleurs "
"104";"le";"-";"+";" cerveau";"+";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"ébullition";"+";"-";"le cerveau§est§en ébullition "
"105";"la";"-";"+";" cervelle";"+";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"le";"envers";"+";"-";"la cervelle§est§à l'envers "
"106";"Det";"-";"-";" chaleur";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"<E>";"crever";"-";"-";"un chaleur§est§à crever "
"107";"le";"-";"-";" champ magnétique";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"+";"Dnum";"tesla";"+";"-";"le champ magnétique§est§de Dnum tesla "
"108";"la";"-";"-";" chance";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"+";"le";"côté";"+";"-";"la chance§est§du côté "
"109";"la";"-";"-";" charge électrique";"-";"-";"-";"-";"<E>";" être";" est";"de";"-";"+";"Dnum";"coulomb";"+";"-";"la charge électrique§est§de Dnum coulomb "
"110";"Det";"+";"-";" château";"-";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"ruines";"-";"-";"un château§est§en ruines "
"111";"la";"-";"+";" chatte";"+";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"la";"agonie";"+";"-";"la chatte§est§à l'agonie "
"112";"les";"-";"-";" chaussettes";"+";"-";"-";"-";"<E>";" être";" sont";"en";"-";"-";"<E>";"accordéon";"+";"-";"les chaussettes§sont§en accordéon "
"113";"Det";"+";"-";" chèque";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"+";"le";"nom";"-";"-";"un chèque§est§au nom "
"114";"Det";"+";"-";" chèque";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"+";"le";"ordre";"-";"-";"un chèque§est§à l'ordre "
"115";"Det";"+";"-";" chèque";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"le";"porteur";"-";"-";"un chèque§est§au porteur "
"116";"Det";"+";"-";" chèque";"-";"-";"-";"-";"<E>";" être";" est";"sans";"-";"-";"<E>";"provision";"-";"-";"un chèque§est§sans provision "
"117";"les";"-";"+";" cheveux";"+";"-";"-";"-";"<E>";" être";" sont";"en";"-";"-";"<E>";"arrière";"+";"-";"les cheveux§sont§en arrière "
"118";"les";"-";"+";" cheveux";"+";"-";"-";"-";"<E>";" être";" sont";"en";"-";"-";"<E>";"bataille";"+";"-";"les cheveux§sont§en bataille "
"119";"les";"-";"+";" cheveux";"+";"-";"-";"-";"<E>";" être";" sont";"en";"-";"-";"<E>";"brosse";"+";"-";"les cheveux§sont§en brosse "
"120";"les";"-";"+";" cheveux";"+";"-";"-";"-";"<E>";" être";" sont";"en";"-";"-";"<E>";"désordre";"+";"-";"les cheveux§sont§en désordre "
"121";"Det";"-";"-";" chiottes";"-";"-";"-";"-";"<E>";" être";" sont";"à";"-";"-";"la";"turque";"-";"-";"un chiottes§sont§à la turque "
