"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"<ENT>Prépc";"<ENT>Detc";"<ENT>Cc";"N0 être Prép1 Det1 C1";"Prép1 C1 = où ?";"Exemple"
"45";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"arrêt";"de";"<E>";"travail";"-";"-";"§être§en arrêt de travail "
"46";"+";"-";"-";"-";"-";"<E>";"être";"à";"les";"arrêts";"de";"<E>";"forteresse";"-";"-";"§être§aux arrêts de forteresse "
"47";"+";"-";"-";"-";"-";"<E>";"être";"à";"les";"arrêts";"de";"<E>";"rigueur";"-";"-";"§être§aux arrêts de rigueur "
"48";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"article";"de";"la";"mort";"-";"-";"§être§à l'article de la mort "
"49";"-";"+";"-";"-";"-";"<E>";"être";"sous";"<E>";"atmosphère";"de";"<E>";"argon";"-";"-";"§être§sous atmosphère d'argon "
"50";"-";"+";"-";"-";"-";"<E>";"être";"sous";"<E>";"atmosphère";"de";"<E>";"N-gaz";"-";"-";"§être§sous atmosphère de N-gaz "
"51";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"aube";"de";"une";"année nouvelle";"-";"-";"§être§à l'aube d'une année nouvelle "
"52";"+";"-";"-";"-";"-";"<E>";"être";"à";"la";"aube";"de";"une nouvelle";"carrière";"-";"-";"§être§à l'aube d'une nouvelle carrière "
"53";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"aube";"de";"une";"ère nouvelle";"-";"-";"§être§à l'aube d'une ère nouvelle "
"54";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"aube";"de";"une";"ère nouvelle";"-";"-";"§être§à l'aube d'une ère nouvelle "
"55";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"aube";"de";"le six";"mai";"-";"-";"§être§à l'aube du six mai "
"56";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"aube";"de";"le Dnum";"N-date";"-";"-";"§être§à l'aube du Dnum N-date "
"57";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"aube";"de";"un nouvel";"Ntps";"-";"-";"§être§à l'aube d'un nouvel Ntps "
"58";"+";"-";"-";"-";"-";"<E>";"être";"à";"la";"aube";"de";"Poss0";"vie";"-";"-";"§être§à l'aube de sa vie "
"59";"+";"-";"-";"-";"-";"<E>";"être";"à";"la";"automne";"de";"Poss0";"vie";"-";"-";"§être§à l'automne de sa vie "
"60";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"baisse";"de";"<E>";"régime";"-";"-";"§être§en baisse de régime "
"61";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"ban";"de";"<E>";"infamie";"-";"-";"§être§au ban d'infamie "
"62";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"ban";"de";"la";"nation";"-";"-";"§être§au ban de la nation "
"63";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"ban";"de";"la";"société";"-";"-";"§être§au ban de la société "
"64";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"banc";"de";"les";"accusés";"-";"-";"§être§au banc des accusés "
"65";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"banc";"de";"<E>";"essai";"-";"-";"§être§au banc d'essai "
"66";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"banc";"de";"les";"prévenus";"-";"-";"§être§au banc des prévenus "
"67";"+";"-";"-";"-";"-";"<E>";"être";"sur";"les";"bancs";"de";"la";"Assemblée nationale";"-";"-";"§être§sur les bancs de la Assemblée nationale "
"68";"+";"-";"-";"-";"-";"<E>";"être";"sur";"les";"bancs";"de";"la";"opposition";"-";"-";"§être§sur les bancs de l'opposition "
"69";"+";"+";"-";"-";"-";"<E>";"être";"sous";"la";"barre";"de";"les Dnum";"points";"-";"-";"§être§sous la barre des Dnum points "
"70";"+";"-";"-";"-";"-";"<E>";"être";"à";"la";"barre";"de";"les";"témoins";"+";"-";"§être§à la barre des témoins "
"71";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"bas";"de";"la";"côte";"-";"+";"§être§au bas de la côte "
"72";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"bas";"de";"la";"côte";"-";"+";"§être§en bas de la côte "
