"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"<ENT>Prépc";"<ENT>Detc";"<ENT>Cc";"N0 être Prép1 Det1 C1";"Prép1 C1 = où ?";"Exemple"
"673";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"office";"de";"le";"soir";"-";"+";"§être§à l'office du soir "
"674";"+";"+";"-";"-";"-";"<E>";"être";"sur";"les";"ondes";"de";"<E>";"N-radio";"-";"-";"§être§sur les ondes de N-radio "
"675";"+";"+";"-";"-";"-";"<E>";"être";"sur";"les";"ondes";"de";"<E>";"Radio Musique";"-";"-";"§être§sur les ondes de Radio Musique "
"676";"-";"+";"-";"-";"-";"<E>";"être";"sur";"une";"orbite";"de";"<E>";"attente";"-";"-";"§être§sur une orbite d'attente "
"677";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"ordre";"de";"<E>";"bataille";"-";"-";"§être§en ordre de bataille "
"678";"-";"+";"+";"-";"-";"<E>";"être";"à";"le";"ordre";"de";"le";"jour";"-";"-";"§être§à l'ordre du jour "
"679";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"ordre";"de";"le";"jour";"-";"-";"§être§à l'ordre du jour "
"680";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"ordre";"de";"<E>";"marche";"-";"-";"§être§en ordre de marche "
"681";"+";"-";"-";"-";"-";"<E>";"être";"pour";"la";"paix";"de";"les";"ménages";"-";"-";"§être§pour la paix des ménages "
"682";"+";"-";"-";"-";"-";"<E>";"être";"devant";"un";"parterre";"de";"<E>";"journalistes";"-";"-";"§être§devant un parterre de journalistes "
"683";"+";"-";"-";"-";"-";"<E>";"être";"sur";"le";"pas";"de";"Poss0";"porte";"-";"+";"§être§sur le pas de sa porte "
"684";"-";"+";"-";"-";"-";"<E>";"être";"sur";"Poss0";"pattes";"de";"<E>";"derrière";"-";"-";"§être§sur ses pattes de derrière "
"685";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"pays";"de";"<E>";"connaissance";"-";"-";"§être§en pays de connaissance "
"686";"+";"-";"-";"-";"-";"<E>";"être";"dans";"la";"peau";"de";"Poss0";"personnage";"-";"-";"§être§dans la peau de son personnage "
"687";"+";"+";"-";"-";"-";"<E>";"être";"dans";"le";"peloton";"de";"<E>";"queue";"-";"-";"§être§dans le peloton de queue "
"688";"+";"+";"-";"-";"-";"<E>";"être";"dans";"le";"peloton";"de";"<E>";"tête";"-";"-";"§être§dans le peloton de tête "
"689";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"péril";"de";"<E>";"mort";"-";"-";"§être§en péril de mort "
"690";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"période";"de";"<E>";"abondance";"-";"-";"§être§en période d'abondance "
"691";"+";"+";"-";"-";"-";"<E>";"être";"dans";"la";"période";"de";"les";"chaleurs";"-";"-";"§être§dans la période des chaleurs "
"692";"+";"+";"-";"-";"-";"<E>";"être";"dans";"la";"période";"de";"les grandes";"chaleurs";"-";"-";"§être§dans la période des grandes chaleurs "
"693";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"période";"de";"grandes";"chaleurs";"-";"-";"§être§en période de grandes chaleurs "
"694";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"période";"de";"<E>";"crise";"-";"-";"§être§en période de crise "
"695";"+";"+";"-";"-";"-";"<E>";"être";"dans";"la";"période";"de";"les";"examens";"-";"-";"§être§dans la période des examens "
"696";"+";"+";"-";"-";"-";"<E>";"être";"dans";"une";"période";"de";"<E>";"examens";"-";"-";"§être§dans une période d'examens "
"697";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"période";"de";"<E>";"examens";"-";"-";"§être§en période d'examens "
"698";"+";"+";"-";"-";"-";"<E>";"être";"dans";"la";"période";"de";"les";"fêtes";"-";"-";"§être§dans la période des fêtes "
"699";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"période";"de";"<E>";"fêtes";"-";"-";"§être§en période de fêtes "
"700";"+";"+";"-";"-";"-";"<E>";"être";"dans";"la";"période";"de";"les";"soldes";"-";"-";"§être§dans la période des soldes "
"701";"+";"+";"-";"-";"-";"<E>";"être";"dans";"une";"période";"de";"<E>";"soldes";"-";"-";"§être§dans une période de soldes "
"702";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"période";"de";"<E>";"soldes";"-";"-";"§être§en période de soldes "
"703";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"période";"de";"<E>";"transition";"-";"-";"§être§en période de transition "
"704";"+";"+";"-";"-";"-";"<E>";"être";"dans";"une";"période";"de";"<E>";"troubles";"-";"-";"§être§dans une période de troubles "
"705";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"période";"de";"<E>";"troubles";"-";"-";"§être§en période de troubles "
"706";"+";"-";"-";"-";"-";"<E>";"être";"dans";"la";"période";"de";"les";"vacances";"-";"-";"§être§dans la période des vacances "
"707";"+";"-";"-";"-";"-";"<E>";"être";"dans";"une";"période";"de";"<E>";"vacances";"-";"-";"§être§dans une période de vacances "
"708";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"période";"de";"<E>";"vacances";"-";"-";"§être§en période de vacances "
"709";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"période";"de";"<E>";"vaches grasses";"-";"-";"§être§en période de vaches grasses "
"710";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"période";"de";"<E>";"vaches maigres";"-";"-";"§être§en période de vaches maigres "
"711";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"permission";"de";"<E>";"détente";"+";"-";"§être§en permission de détente "
"712";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"permission";"de";"<E>";"minuit";"+";"-";"§être§en permission de minuit "
"713";"-";"+";"-";"-";"-";"<E>";"être";"sans";"<E>";"perte";"de";"<E>";"salaire";"-";"-";"§être§sans perte de salaire "
"714";"-";"+";"-";"-";"-";"<E>";"être";"sans";"<E>";"perte";"de";"<E>";"temps";"-";"-";"§être§sans perte de temps "
"715";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"perte";"de";"<E>";"vitesse";"-";"-";"§être§en perte de vitesse "
"716";"-";"+";"+";"-";"-";"<E>";"être";"de";"<E>";"peu";"de";"<E>";"conséquence";"-";"-";"§être§de peu de conséquence "
"717";"+";"-";"-";"-";"-";"<E>";"être";"de";"<E>";"peu";"de";"<E>";"foi";"-";"-";"§être§de peu de foi "
"718";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"phase";"de";"<E>";"atterrissage";"-";"-";"§être§en phase d'atterrissage "
"719";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"phase";"de";"<E>";"décollage";"-";"-";"§être§en phase de décollage "
"720";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"phase";"de";"<E>";"démarrage";"-";"-";"§être§en phase de démarrage "
"721";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"phase";"de";"<E>";"initialisation";"-";"-";"§être§en phase d'initialisation "
"722";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"pic";"de";"la";"gloire";"+";"-";"§être§au pic de la gloire "
"723";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"pièces";"de";"Dnum";"dollars";"-";"-";"§être§en pièces de Dnum dollars "
"724";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"pièces";"de";"<E>";"monnaie";"+";"-";"§être§en pièces de monnaie "
"725";"-";"+";"-";"-";"-";"<E>";"être";"en";"grosses";"pièces";"de";"<E>";"monnaie";"+";"-";"§être§en grosses pièces de monnaie "
"726";"-";"+";"-";"-";"-";"<E>";"être";"en";"petites";"pièces";"de";"<E>";"monnaie";"+";"-";"§être§en petites pièces de monnaie "
"727";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"pièces";"de";"Dnum";"N-monnaie";"-";"-";"§être§en pièces de Dnum N-monnaie "
"728";"+";"-";"-";"-";"-";"<E>";"être";"sur";"le";"pied";"de";"<E>";"guerre";"-";"-";"§être§sur le pied de guerre "
"729";"+";"-";"-";"-";"-";"<E>";"être";"à";"<E>";"pied";"de";"<E>";"oeuvre";"-";"-";"§être§à pied d'oeuvre "
"730";"+";"+";"-";"-";"-";"<E>";"être";"à";"mille";"pieds";"de";"<E>";"altitude";"-";"-";"§être§à mille pieds d'altitude "
"731";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"pire";"de";"Poss0";"forme";"-";"-";"§être§au pire de sa forme "
"732";"+";"+";"-";"-";"-";"<E>";"être";"à";"la Dnum-ième";"place";"de";"le";"classement général";"-";"+";"§être§à la Dnum-ième place du classement général "
"733";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"place";"de";"<E>";"honneur";"-";"+";"§être§à la place d'honneur "
"734";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"place";"de";"<E>";"honneur";"-";"+";"§être§à la place d'honneur "
"735";"+";"-";"-";"-";"-";"<E>";"être";"à";"la";"place";"de";"le";"mort";"-";"+";"§être§à la place du mort "
"736";"-";"+";"-";"-";"-";"<E>";"être";"sur";"le";"point";"de";"<E>";"faire une bêtise";"-";"-";"§être§sur le point de fait une bêtise "
"737";"-";"+";"-";"-";"-";"<E>";"être";"sur";"le";"point";"de";"<E>";"faire une connerie";"-";"-";"§être§sur le point de fait une connerie "
"738";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"point";"de";"<E>";"orgue";"-";"-";"§être§en point d'orgue "
"739";"+";"-";"-";"-";"-";"<E>";"être";"à";"un";"point";"de";"non-";"retour";"-";"-";"§être§à un point de non-retour "
"740";"+";"-";"-";"-";"-";"<E>";"être";"sur";"la";"pointe";"de";"les";"pieds";"-";"-";"§être§sur la pointe des pieds "
"741";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"pointe";"de";"le";"progrès";"-";"-";"§être§à la pointe du progrès "
"742";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"points";"de";"<E>";"suspension";"-";"-";"§être§en points de suspension "
"743";"-";"+";"+";"-";"-";"<E>";"être";"à";"la";"portée";"de";"toutes les";"bourses";"-";"-";"§être§à la portée de toutes les bourses "
"744";"+";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"portée";"de";"<E>";"main";"+";"-";"§être§à portée de main "
"745";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"portée";"de";"la";"main";"-";"-";"§être§à la portée de la main "
"746";"-";"+";"-";"-";"-";"<E>";"être";"hors de";"<E>";"portée";"de";"la";"main";"-";"-";"§être§hors de portée de la main "
"747";"-";"+";"+";"-";"-";"<E>";"être";"à";"la";"portée";"de";"tout le";"monde";"-";"-";"§être§à la portée de tout le monde "
"748";"-";"+";"+";"-";"-";"<E>";"être";"à";"la";"portée";"de";"le plus grand";"nombre";"-";"-";"§être§à la portée du plus grand nombre "
"749";"+";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"portée";"de";"le";"regard";"+";"-";"§être§à portée du regard "
"750";"-";"+";"+";"-";"-";"<E>";"être";"à";"la";"portée";"de";"<E>";"tous";"-";"-";"§être§à la portée de tous "
"751";"-";"+";"+";"-";"-";"<E>";"être";"à";"la";"portée";"de";"le premier";"venu";"-";"-";"§être§à la portée du premier venu "
"752";"-";"+";"+";"-";"-";"<E>";"être";"hors de";"la";"portée";"de";"le premier";"venu";"-";"-";"§être§hors de la portée du premier venu "
"753";"+";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"portée";"de";"<E>";"voix";"+";"-";"§être§à portée de voix "
"754";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"position";"de";"non-";"activité";"-";"-";"§être§en position de non-activité "
"755";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"position";"de";"<E>";"combat";"-";"-";"§être§en position de combat "
"756";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"position";"de";"<E>";"défense";"-";"-";"§être§en position de défense "
"757";"+";"-";"-";"-";"-";"<E>";"être";"dans";"une";"position";"de";"<E>";"faiblesse";"-";"-";"§être§dans une position de faiblesse "
"758";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"position";"de";"<E>";"faiblesse";"-";"-";"§être§en position de faiblesse "
"759";"+";"-";"-";"-";"-";"<E>";"être";"dans";"une";"position";"de";"<E>";"force";"-";"-";"§être§dans une position de force "
"760";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"position";"de";"<E>";"force";"-";"-";"§être§en position de force "
"761";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"position";"de";"hors-";"jeu";"-";"-";"§être§en position d'hors-jeu "
"762";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"position";"de";"<E>";"tir";"-";"-";"§être§en position de tir "
"763";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"position";"de";"<E>";"tir couché";"-";"-";"§être§en position de tir couché "
"764";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"position";"de";"<E>";"tir debout";"-";"-";"§être§en position de tir debout "
"765";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"possession";"de";"toutes Poss0";"facultés";"-";"-";"§être§en possession de toutes ses facultés "
"766";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"possession";"de";"tous Poss0";"moyens";"-";"-";"§être§en possession de tous ses moyens "
"767";"+";"-";"-";"-";"-";"<E>";"être";"en";"pleine";"possession";"de";"Poss0";"moyens";"-";"-";"§être§en pleine possession de ses moyens "
"768";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"poste";"de";"<E>";"commande";"-";"-";"§être§au poste de commande "
"769";"+";"-";"-";"-";"-";"<E>";"être";"devant";"Poss0";"poste";"de";"<E>";"télévision";"-";"+";"§être§devant son poste de télévision "
"770";"+";"-";"-";"-";"-";"<E>";"être";"à";"un";"pot";"de";"<E>";"thèse";"-";"+";"§être§à un pot de thèse "
"771";"+";"-";"-";"-";"-";"<E>";"être";"à";"la";"première";"de";"<E>";"Don Giovanni";"-";"+";"§être§à la première de Don Giovanni "
"772";"+";"-";"-";"-";"-";"<E>";"être";"à";"la";"première";"de";"<E>";"N-spectacle";"-";"+";"§être§à la première de N-spectacle "
"773";"+";"+";"-";"-";"-";"<E>";"être";"sur";"<E>";"présentation";"de";"une";"carte d'identité";"-";"-";"§être§sur présentation d'une carte d'identité "
"774";"+";"+";"-";"-";"-";"<E>";"être";"sur";"<E>";"présentation";"de";"une";"pièce d'identité";"-";"-";"§être§sur présentation d'une pièce d'identité "
"775";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"pression";"de";"six";"atmosphères";"-";"-";"§être§à la pression de six atmosphères "
"776";"-";"+";"-";"-";"-";"<E>";"être";"sous";"une";"pression";"de";"six";"atmosphères";"-";"-";"§être§sous une pression de six atmosphères "
"777";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"pression";"de";"Dnum";"N-unité-de-pression";"-";"-";"§être§à la pression de Dnum N-unité-de-pression "
"778";"-";"+";"-";"-";"-";"<E>";"être";"sous";"une";"pression";"de";"Dnum";"N-unité-de-pression";"-";"-";"§être§sous une pression de Dnum N-unité-de-pression "
"779";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"printemps";"de";"Poss0";"vie";"-";"-";"§être§au printemps de sa vie "
"780";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"profondeur";"de";"Dnum";"N-mesure-de-longueur";"-";"+";"§être§à la profondeur de Dnum N-mesure-de-longueur "
"781";"+";"+";"-";"-";"-";"<E>";"être";"à";"une";"profondeur";"de";"Dnum";"N-mesure-de-longueur";"-";"+";"§être§à une profondeur de Dnum N-mesure-de-longueur "
"782";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"progression";"de";"Dnum";"pour cent";"-";"-";"§être§en progression de Dnum pour cent "
"783";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"proximité";"de";"la";"gare";"-";"+";"§être§à proximité de la gare "
"784";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"proximité";"de";"la";"mairie";"-";"+";"§être§à proximité de la mairie "
"785";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"proximité";"de";"le";"métro";"-";"+";"§être§à proximité du métro "
"786";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"proximité";"de";"la";"place";"-";"+";"§être§à proximité de la place "
"787";"+";"+";"-";"-";"-";"<E>";"être";"sur";"le";"quai";"de";"la";"gare";"-";"+";"§être§sur le quai de la gare "
"788";"+";"+";"-";"-";"-";"<E>";"être";"sur";"un";"quai";"de";"<E>";"gare";"-";"+";"§être§sur un quai de gare "
"789";"+";"+";"+";"-";"-";"<E>";"être";"à";"le";"quart";"de";"<E>";"poil";"-";"-";"§être§au quart de poil "
"790";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"quête-";"de";"<E>";"identité";"-";"-";"§être§en quête-de-identité "
"791";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"queue";"de";"<E>";"aronde";"-";"-";"§être§en queue d'aronde "
"792";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"queue-";"de";"<E>";"pie";"-";"-";"§être§en queue-de-pie "
"793";"+";"-";"-";"-";"-";"<E>";"être";"de";"la";"race";"de";"les";"héros";"-";"-";"§être§de la race des héros "
"794";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"ras";"de";"les";"marguerites";"-";"-";"§être§au ras des marguerites "
"795";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"ras";"de";"les";"pâquerettes";"-";"-";"§être§au ras des pâquerettes "
"796";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"ras";"de";"le";"sol";"-";"+";"§être§à ras du sol "
"797";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"ras";"de";"<E>";"terre";"-";"+";"§être§à ras de terre "
"798";"+";"+";"-";"-";"-";"<E>";"être";"dans";"un";"rayon";"de";"six";"kilomètres";"-";"+";"§être§dans un rayon de six kilomètres "
"799";"+";"+";"-";"-";"-";"<E>";"être";"dans";"un";"rayon";"de";"Dnum";"N-mesure-de-longueur";"-";"+";"§être§dans un rayon de Dnum N-mesure-de-longueur "
"800";"+";"-";"-";"-";"-";"<E>";"être";"devant";"la";"réalité";"de";"les";"faits";"-";"-";"§être§devant la réalité des faits "
"801";"+";"-";"-";"-";"-";"<E>";"être";"à";"la";"recherche";"de";"un nouveau";"souffle";"-";"-";"§être§à la recherche d'un nouveau souffle "
"802";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"régime";"de";"<E>";"croisière";"-";"-";"§être§en régime de croisière "
"803";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"régime";"de";"<E>";"instabilité";"-";"-";"§être§en régime d'instabilité "
"804";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"régime";"de";"<E>";"turbulences";"-";"-";"§être§en régime de turbulences "
"805";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"repos";"de";"courte";"durée";"-";"-";"§être§en repos de courte durée "
"806";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"repos";"de";"longue";"durée";"-";"-";"§être§en repos de longue durée "
"807";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"retard";"de";"une";"guerre";"-";"-";"§être§en retard d'une guerre "
"808";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"rez-";"de";"<E>";"chaussée";"-";"+";"§être§au rez-de-chaussée "
"809";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"robe";"de";"<E>";"apparat";"-";"-";"§être§en robe d'apparat "
"810";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"robe";"de";"<E>";"bal";"-";"-";"§être§en robe de bal "
"811";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"robe";"de";"le";"dimanche";"-";"-";"§être§en robe du dimanche "
"812";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"robe";"de";"<E>";"été";"-";"-";"§être§en robe d'été "
"813";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"robe";"de";"<E>";"mariée";"-";"-";"§être§en robe de mariée "
"814";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"robe";"de";"le";"soir";"-";"-";"§être§en robe du soir "
"815";"+";"-";"-";"-";"-";"<E>";"être";"dans";"le";"rôle";"de";"le jeune";"premier";"-";"-";"§être§dans le rôle du jeune premier "
"816";"+";"-";"-";"-";"-";"<E>";"être";"dans";"un";"rôle";"de";"jeune";"premier";"-";"-";"§être§dans un rôle de jeune premier "
"817";"+";"-";"-";"-";"-";"<E>";"être";"sur";"la";"route";"de";"les";"vacances";"-";"+";"§être§sur la route des vacances "
"818";"+";"-";"-";"-";"-";"<E>";"être";"sur";"les";"routes";"de";"<E>";"France";"-";"+";"§être§sur les routes de France "
"819";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"rupture";"de";"<E>";"ban";"-";"-";"§être§en rupture de ban "
"820";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"rupture";"de";"<E>";"stock";"-";"-";"§être§en rupture de stock "
"821";"+";"-";"-";"-";"-";"<E>";"être";"dans";"un sacré";"sac";"de";"<E>";"noeuds";"-";"-";"§être§dans un sacré sac de noeuds "
"822";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"saison";"de";"les";"amours";"-";"-";"§être§à la saison des amours "
"823";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"saison";"de";"les";"pluies";"-";"-";"§être§à la saison des pluies "
"824";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"saison";"de";"les";"pluies";"-";"-";"§être§en saison des pluies "
"825";"+";"-";"-";"-";"-";"<E>";"être";"à";"<E>";"sec";"de";"<E>";"argent";"+";"-";"§être§à sec d'argent "
"826";"+";"-";"-";"-";"-";"<E>";"être";"à";"<E>";"sec";"de";"<E>";"arguments";"+";"-";"§être§à sec d'arguments "
"827";"+";"-";"-";"-";"-";"<E>";"être";"à";"<E>";"sec";"de";"<E>";"idées";"+";"-";"§être§à sec d'idées "
"828";"+";"-";"-";"-";"-";"<E>";"être";"dans";"le";"secret";"de";"les";"Dieux";"+";"-";"§être§dans le secret des Dieux "
"829";"+";"-";"-";"-";"-";"<E>";"être";"sur";"le";"sentier";"de";"la";"guerre";"-";"-";"§être§sur le sentier de la guerre "
"830";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"service";"de";"le";"Etat";"-";"-";"§être§au service du Etat "
"831";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"service";"de";"la";"patrie";"-";"-";"§être§au service de la patrie "
"832";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"service";"de";"le";"pays";"-";"-";"§être§au service du pays "
"833";"+";"+";"-";"-";"-";"<E>";"être";"en";"pleine";"session";"de";"le";"Parlement";"-";"-";"§être§en pleine session du Parlement "
"834";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"seuil";"de";"une";"année nouvelle";"-";"-";"§être§au seuil d'une année nouvelle "
"835";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"seuil";"de";"une";"ère nouvelle";"-";"-";"§être§au seuil d'une ère nouvelle "
"836";"+";"-";"-";"-";"-";"<E>";"être";"sur";"le";"seuil";"de";"Poss0";"maison";"-";"+";"§être§sur le seuil de sa maison "
"837";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"seuil";"de";"un nouvel";"Ntps";"-";"-";"§être§au seuil d'un nouvel Ntps "
"838";"+";"-";"-";"-";"-";"<E>";"être";"de";"le";"signe";"de";"la";"Balance";"-";"-";"§être§du signe de la Balance "
"839";"+";"-";"-";"-";"-";"<E>";"être";"de";"le";"signe";"de";"le";"Belier";"-";"-";"§être§du signe du Belier "
"840";"+";"-";"-";"-";"-";"<E>";"être";"de";"le";"signe";"de";"le";"Cancer";"-";"-";"§être§du signe du Cancer "
"841";"+";"-";"-";"-";"-";"<E>";"être";"de";"le";"signe";"de";"le";"Capricorne";"-";"-";"§être§du signe du Capricorne "
"842";"+";"-";"-";"-";"-";"<E>";"être";"de";"le";"signe";"de";"les";"Gemeaux";"-";"-";"§être§du signe des Gemeaux "
"843";"+";"-";"-";"-";"-";"<E>";"être";"de";"le";"signe";"de";"le";"Lion";"-";"-";"§être§du signe du Lion "
"844";"+";"-";"-";"-";"-";"<E>";"être";"de";"le";"signe";"de";"le";"Poisson";"-";"-";"§être§du signe du Poisson "
"845";"+";"-";"-";"-";"-";"<E>";"être";"de";"le";"signe";"de";"le";"Sagitaire";"-";"-";"§être§du signe du Sagitaire "
"846";"+";"-";"-";"-";"-";"<E>";"être";"de";"le";"signe";"de";"le";"Scorpion";"-";"-";"§être§du signe du Scorpion "
"847";"+";"-";"-";"-";"-";"<E>";"être";"de";"le";"signe";"de";"le";"Taureau";"-";"-";"§être§du signe du Taureau "
"848";"+";"-";"-";"-";"-";"<E>";"être";"de";"le";"signe";"de";"le";"Verseau";"-";"-";"§être§du signe du Verseau "
"849";"+";"-";"-";"-";"-";"<E>";"être";"de";"le";"signe";"de";"la";"Vierge";"-";"-";"§être§du signe de la Vierge "
"850";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"situation";"de";"<E>";"échec";"-";"-";"§être§en situation d'échec "
"851";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"situation";"de";"<E>";"force";"-";"-";"§être§en situation de force "
"852";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"six";"de";"la";"rue X";"-";"+";"§être§au six de la rue X "
"853";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"soleil";"de";"<E>";"Italie";"-";"+";"§être§au soleil de Italie "
"854";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"soleil";"de";"la";"Italie";"-";"+";"§être§au soleil de la Italie "
"855";"+";"+";"-";"-";"-";"<E>";"être";"sous";"le";"soleil";"de";"<E>";"Italie";"-";"+";"§être§sous le soleil de Italie "
"856";"+";"+";"-";"-";"-";"<E>";"être";"sous";"le";"soleil";"de";"la";"Italie";"-";"+";"§être§sous le soleil de la Italie "
"857";"+";"+";"-";"-";"-";"<E>";"être";"sous";"le";"soleil";"de";"<E>";"minuit";"-";"+";"§être§sous le soleil de minuit "
"858";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"soleil";"de";"<E>";"N-pays";"-";"+";"§être§au soleil de N-pays "
"859";"+";"+";"-";"-";"-";"<E>";"être";"sous";"le";"soleil";"de";"<E>";"N-pays";"-";"+";"§être§sous le soleil de N-pays "
"860";"+";"+";"-";"-";"-";"<E>";"être";"sous";"un";"soleil";"de";"<E>";"plomb";"-";"-";"§être§sous un soleil de plomb "
"861";"+";"+";"-";"-";"-";"<E>";"être";"sous";"le";"soleil";"de";"les";"tropiques";"-";"+";"§être§sous le soleil des tropiques "
"862";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"sommet";"de";"la";"échelle sociale";"-";"-";"§être§au sommet de l'échelle sociale "
"863";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"sommet";"de";"la";"gloire";"+";"-";"§être§au sommet de la gloire "
"864";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"sommet";"de";"la";"hiérarchie";"+";"-";"§être§au sommet de l'hiérarchie "
"865";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"sommet";"de";"les";"honneurs";"+";"-";"§être§au sommet des honneurs "
"866";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"sommet";"de";"le";"pouvoir";"+";"-";"§être§au sommet du pouvoir "
