"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"<ENT>Prép2";"N2 =: Nhum";"N2 =: N-hum";"N2 =: ce Qu Pind";"N2 =: ce Qu Psubj";"Prép N2 =: Prép ce Qu P = Qu P";"N2 =: V0-inf W";"N0 être Prép1 Det1 C1";"Prép2 N2hum = Ppv =: lui";"Prép2 N2-hum = Ppv";"Exemple"
"46";"+";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"dimension";"à";"-";"+";"-";"+";"-";"-";"-";"-";"-";"§être§de dimension à "
"47";"+";"-";"-";"+";"-";"en";"être";"à";"<E>";"dire";"<E>";"+";"-";"-";"-";"-";"+";"-";"+";"-";"§en est§à dire "
"48";"+";"-";"-";"-";"-";"<E>";"être";"à";"<E>";"Dnum";"pour";"-";"+";"-";"+";"-";"+";"-";"-";"-";"§être§à Dnum pour "
"49";"+";"+";"-";"-";"-";"<E>";"être";"<E>";"le";"Dnum-ième";"à";"-";"-";"-";"-";"-";"+";"-";"-";"-";"§être§le Dnum-ième à "
"50";"+";"-";"-";"-";"-";"<E>";"être";"à";"deux";"doigts";"de";"-";"+";"+";"+";"-";"+";"-";"-";"+";"§être§à deux doigts de "
"51";"+";"-";"-";"-";"-";"<E>";"être";"à";"<E>";"douze";"pour";"-";"+";"-";"+";"-";"+";"-";"-";"-";"§être§à douze pour "
"52";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"état";"de";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§être§en état de "
"53";"+";"+";"-";"-";"-";"<E>";"être";"hors de";"<E>";"état";"de";"-";"+";"+";"+";"-";"-";"-";"-";"+";"§être§hors d'état de "
"54";"-";"+";"+";"-";"-";"<E>";"être";"<E>";"la meilleure";"façon";"de";"-";"+";"-";"-";"+";"-";"+";"-";"+";"§être§la meilleure façon de "
"55";"+";"-";"-";"-";"-";"<E>";"être";"<E>";"<E>";"femme";"à";"-";"-";"-";"+";"-";"+";"-";"-";"-";"§être§femme à "
"56";"-";"+";"+";"-";"-";"<E>";"être";"à";"la seule";"fin";"de";"-";"+";"+";"+";"-";"-";"-";"-";"-";"§être§à la seule fin de "
"57";"-";"+";"+";"-";"-";"<E>";"être";"à";"seule";"fin";"de";"-";"+";"+";"+";"-";"-";"-";"-";"-";"§être§à seule fin de "
"58";"+";"-";"-";"-";"-";"<E>";"être";"de";"<E>";"force";"à";"-";"+";"-";"+";"-";"+";"-";"-";"+";"§être§de force à "
"59";"+";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"format";"à";"-";"+";"-";"+";"-";"-";"-";"-";"-";"§être§de format à "
