"<ID>";"<ENT>Conj";"<ENT>Det0";"<ENT>C0";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: y figé";"Ppv =: me figé";"Ppv =: vous figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"<ENT>Det1";"<ENT>C1";"<ENT>Conj-2";"<ENT>Det0-2";"<ENT>C0-2";"<ENT>V-2";"<ENT>Det1-2";"<ENT>C1-2";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Npc";"N0 =: Qu P";"C0 =: C0 de Nhum";"N1 =: Nhum";"N1 =: N-hum";"N1 =: Npc";"N1 =: Qu P";"C1 =: C1 de Nhum";"C1 =: C1 de N-hum";"Exemple"
"197";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" voir";"<E>";"<E>";"et";"<E>";"<E>";"mourir";"<E>";"<E>";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"§voir§et mourir "
"198";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" voir";"<E>";"<E>";"comme";"<E>";"je vous";"voir";"<E>";"<E>";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"§voir§comme je vous voir "
"199";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" voir";"<E>";"<E>";"comme";"<E>";"je te";"voir";"<E>";"<E>";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"§voir§comme je te voir "
"200";"quand";"les";"cons";"-";"-";"-";"-";"-";"-";"<E>";" voleront";"<E>";"<E>";"<E>";"<E>";"<E>";"sera";"chef de";"escadrille";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"quand les cons§voleront§sera chef d'escadrille "
"201";"que";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" voulez-vous";"<E>";"<E>";"que";"<E>";"je";"vous dise ?";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"que§voulez-vous§que je vous dise ? "
"202";"que";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" voulez-vous";"<E>";"<E>";"que";"<E>";"je";"y fasse ?";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"que§voulez-vous§que j'y fasse ? "
"203";"que";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" voulez-vous";"<E>";"<E>";"que";"la";"bonne";"y fasse ?";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"que§voulez-vous§que la bonne y fasse ? "
"204";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" vouloir bien";"être";"pendu";"si";"<E>";"<E>";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§vouloir bien§est pendu si "
"205";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" voyons voir";"un";"peu";"si";"<E>";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§voyons voir§un peu si "
"206";"ni";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" vu";"ni";"connu";"<E>";"<E>";"je";"t'embrouille";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"ni§vu§ni connu je t'embrouille "

