"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Npc";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Det1";"<ENT>C1";"N0 V Det1 C1";"Nc =: Nhum";"Nc =: N-hum";"Nc =: ce Qu Pind";"Nc =: ce Qu Psubj";"Nc =: V-inf W";"Det1 C1 de Nc = Poss C1";"N0 en être Det1 C1";"N0 être Det1 C1 pour Nc";"Nc avoir Det1 C1";"Exemple"
"372";"+";"-";"-";"-";"<E>";" être";"le";"homme des rêves";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§l'homme des rêves "
"373";"+";"-";"-";"-";"<E>";" être";"le";"homme fort";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"§être§l'homme fort "
"374";"+";"-";"-";"-";"<E>";" être";"le";"homme lige";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§l'homme lige "
"375";"-";"+";"-";"-";"<E>";" être";"le";"homologue";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§l'homologue "
"376";"+";"+";"-";"-";"<E>";" être";"la";"honte";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"§être§l'honte "
"377";"-";"+";"-";"-";"<E>";" être";"le seul";"horizon";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"§être§le seul horizon "
"378";"-";"+";"-";"-";"<E>";" être";"tout le";"horizon";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"§être§tout l'horizon "
"379";"+";"-";"-";"-";"<E>";" être";"le";"hôte";"-";"+";"+";"-";"-";"-";"+";"+";"-";"+";"§être§l'hôte "
"380";"+";"-";"-";"-";"<E>";" être";"le";"hôte";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§l'hôte "
"381";"+";"-";"-";"-";"<E>";" être";"la";"hôtesse";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§l'hôtesse "
"382";"-";"+";"-";"-";"<E>";" être";"la grande";"idée";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§la grande idée "
"383";"+";"+";"-";"-";"<E>";" être";"la";"image";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"§être§l'image "
"384";"+";"+";"-";"-";"<E>";" être";"une";"imitation";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"§être§une imitation "
"385";"+";"+";"-";"-";"<E>";" être";"une pâle";"imitation";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"§être§une pâle imitation "
"386";"+";"+";"-";"-";"<E>";" être";"une";"incarnation";"-";"+";"+";"-";"-";"-";"+";"+";"-";"+";"§être§une incarnation "
"387";"+";"-";"-";"-";"<E>";" être";"un";"inconditionnel";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"§être§un inconditionnel "
"388";"-";"+";"-";"-";"<E>";" être";"un";"ingrédient";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"§être§un ingrédient "
"389";"-";"+";"-";"-";"<E>";" être";"un";"instantané";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"§être§un instantané "
"390";"+";"-";"-";"-";"<E>";" être";"le";"instrument";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"§être§l'instrument "
"391";"+";"-";"-";"-";"<E>";" être";"le";"interprète";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§l'interprète "
"392";"+";"-";"-";"-";"<E>";" être";"un";"intime";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§un intime "
"393";"+";"-";"-";"-";"<E>";" être";"le";"inventeur";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"§être§l'inventeur "
"394";"-";"+";"-";"-";"<E>";" être";"le";"inverse";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§l'inverse "
"395";"+";"-";"-";"-";"<E>";" être";"un";"invité";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§un invité "
"396";"-";"+";"-";"-";"<E>";" être";"le";"jeu favori";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§le jeu favori "
"397";"-";"+";"-";"-";"<E>";" être";"la";"joie";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§la joie "
"398";"+";"-";"-";"-";"<E>";" être";"le";"jouet";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§le jouet "
"399";"+";"+";"-";"-";"<E>";" être";"le";"jouet";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§le jouet "
"400";"-";"+";"-";"-";"<E>";" être";"le";"jour de garde";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§le jour de garde "
"401";"-";"+";"-";"-";"<E>";" être";"le plus long";"jour de la vie";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§le plus long jour de la vie "
"402";"-";"+";"-";"-";"<E>";" être";"le";"jour de lessive";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§le jour de lessive "
"403";"+";"+";"-";"-";"<E>";" être";"un";"joyau";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"§être§un joyau "
"404";"+";"-";"-";"-";"<E>";" être";"bon";"juge";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"§être§bon juge "
"405";"+";"-";"-";"-";"<E>";" être";"mauvais";"juge";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"§être§mauvais juge "
"406";"+";"-";"-";"-";"<E>";" être";"seul";"juge";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"§être§seul juge "
"407";"+";"-";"-";"-";"<E>";" être";"un faux";"jumeau";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§un faux jumeau "
"408";"+";"-";"-";"-";"<E>";" être";"un vrai";"jumeau";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§un vrai jumeau "
"409";"+";"-";"-";"-";"<E>";" être";"le";"lauréat";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"§être§le lauréat "
"410";"-";"+";"-";"-";"<E>";" être";"une belle";"leçon";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"§être§une belle leçon "
"411";"+";"-";"-";"-";"<E>";" être";"la";"légitime";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§la légitime "
"412";"+";"-";"-";"-";"<E>";" être";"la";"lie";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"§être§la lie "
"413";"-";"+";"-";"-";"<E>";" être";"un";"lieu";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"§être§un lieu "
"414";"-";"+";"-";"-";"<E>";" être";"un haut";"lieu";"+";"-";"+";"-";"-";"-";"+";"+";"+";"+";"§être§un haut lieu "
"415";"-";"+";"-";"-";"<E>";" être";"les grandes";"lignes";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"§être§les grandes lignes "
"416";"-";"+";"-";"-";"<E>";" être";"les";"linéaments";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§les linéaments "
"417";"+";"-";"-";"-";"<E>";" être";"<E>";"locataire";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"§être§locataire "
"418";"+";"-";"-";"-";"<E>";" être";"la";"locomotive";"+";"-";"+";"-";"-";"-";"+";"+";"+";"+";"§être§la locomotive "
"419";"+";"-";"-";"-";"<E>";" être";"le";"long";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"§être§le long "
"420";"-";"+";"-";"-";"<E>";" être";"le";"lot";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"§être§le lot "
"421";"+";"+";"-";"-";"<E>";" être";"le";"maillon";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"§être§le maillon "
"422";"+";"+";"-";"-";"<E>";" être";"le";"maillon faible";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"§être§le maillon faible "
"423";"+";"-";"+";"-";"<E>";" être";"la";"main";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"§être§la main "
"424";"-";"+";"-";"-";"<E>";" être";"la";"maison natale";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§la maison natale "
"425";"+";"-";"-";"-";"<E>";" être";"<E>";"maître";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"§être§maître "
"426";"+";"-";"-";"-";"<E>";" être";"le";"maître";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§le maître "
"427";"+";"-";"-";"-";"<E>";" être";"un grand";"maître";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"§être§un grand maître "
"428";"+";"-";"-";"-";"<E>";" être";"le";"maître des basses oeuvres";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§le maître des basses oeuvres "
"429";"+";"-";"-";"-";"<E>";" être";"le";"maître d'oeuvre";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"§être§le maître d'oeuvre "
"430";"+";"-";"-";"-";"<E>";" être";"un";"maître incontesté";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§un maître incontesté "
"431";"+";"-";"-";"-";"<E>";" être";"la";"maîtresse";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"§être§la maîtresse "
"432";"+";"-";"-";"-";"<E>";" être";"la";"maîtresse";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§la maîtresse "
"433";"+";"-";"-";"-";"<E>";" être";"la";"maman";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§la maman "
"434";"-";"+";"+";"-";"<E>";" être";"les deux";"mamelles";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"§être§les deux mamelles "
"435";"+";"-";"-";"-";"<E>";" être";"un";"maniaque";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"§être§un maniaque "
"436";"+";"-";"+";"-";"<E>";" être";"un";"manitou";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§un manitou "
"437";"+";"-";"+";"-";"<E>";" être";"un grand";"manitou";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§un grand manitou "
"438";"+";"-";"-";"-";"<E>";" être";"la";"marâtre";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§la marâtre "
"439";"+";"-";"-";"-";"<E>";" être";"le Dnum-ième";"mari";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§le Dnum-ième mari "
"440";"+";"-";"-";"-";"<E>";" être";"le premier";"mari";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§le premier mari "
"441";"+";"-";"-";"-";"<E>";" être";"le second";"mari";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§le second mari "
"442";"+";"-";"-";"-";"<E>";" être";"le";"médecin traitant";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§le médecin traitant "
"443";"+";"+";"-";"-";"<E>";" être";"le";"meilleur";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"§être§le meilleur "
"444";"-";"+";"-";"-";"<E>";" être";"un";"mélange";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§un mélange "
"445";"-";"+";"-";"-";"<E>";" être";"un";"méli mélo";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§un méli mélo "
"446";"+";"-";"-";"-";"<E>";" être";"un";"membre";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"§être§un membre "
"447";"+";"-";"-";"-";"<E>";" être";"un";"membre de la famille";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§un membre de la famille "
"448";"-";"+";"-";"-";"<E>";" être";"la";"mémoire collective";"+";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§la mémoire collective "
"449";"+";"-";"-";"-";"<E>";" être";"la";"mère";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§la mère "
"450";"+";"-";"-";"-";"<E>";" être";"la belle-";"mère";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§la belle-mère "
"451";"+";"-";"-";"-";"<E>";" être";"la";"mère nourricière";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§la mère nourricière "
"452";"+";"-";"-";"-";"<E>";" être";"la";"mère porteuse";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§la mère porteuse "
"453";"-";"+";"-";"-";"<E>";" être";"une";"merveille";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"§être§une merveille "
"454";"-";"+";"-";"+";"n'";" être pas";"le";"métier";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§n'est pas§le métier "
"455";"-";"+";"-";"+";"n'";" être pas";"le";"millième";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§n'est pas§le millième "
"456";"+";"+";"-";"-";"<E>";" être";"une";"mine";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§une mine "
"457";"-";"+";"-";"-";"<E>";" être";"le";"ministère de tutelle";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§le ministère de tutelle "
"458";"+";"-";"-";"-";"<E>";" être";"le";"ministre de tutelle";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§le ministre de tutelle "
"459";"-";"+";"-";"-";"<E>";" être";"un";"miracle";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"§être§un miracle "
"460";"-";"+";"-";"-";"<E>";" être";"le";"miroir";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"§être§le miroir "
"461";"-";"+";"-";"-";"<E>";" être";"une";"mixture";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§une mixture "
"462";"+";"+";"-";"-";"<E>";" être";"le";"modèle";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"§être§le modèle "
"463";"+";"+";"-";"-";"<E>";" être";"un";"modèle";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"§être§un modèle "
"464";"+";"+";"-";"-";"<E>";" être";"un";"modèle réduit";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"§être§un modèle réduit "
"465";"-";"+";"-";"-";"<E>";" être";"le";"moindre des défauts";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"§être§le moindre des défauts "
"466";"-";"+";"-";"-";"<E>";" être";"le";"mois de garde";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§le mois de garde "
"467";"+";"-";"-";"-";"<E>";" être";"la";"moitié";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§la moitié "
"468";"+";"-";"-";"-";"<E>";" être";"la tendre";"moitié";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§la tendre moitié "
"469";"-";"+";"-";"-";"<E>";" être";"le";"monde";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"§être§le monde "
"470";"-";"+";"-";"-";"<E>";" être";"le petit";"monde";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"§être§le petit monde "
"471";"+";"-";"-";"-";"<E>";" être";"un";"monstre";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"§être§un monstre "
"472";"+";"+";"-";"-";"<E>";" être";"un";"monument";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"§être§un monument "
"473";"+";"-";"-";"-";"<E>";" être";"un";"mordu";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"§être§un mordu "
"474";"-";"+";"-";"-";"<E>";" être";"la";"mort";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§la mort "
"475";"-";"+";"-";"-";"<E>";" être";"le dernier";"mot";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§le dernier mot "
"476";"+";"+";"-";"-";"<E>";" être";"le";"moteur";"+";"-";"+";"-";"-";"-";"+";"+";"+";"+";"§être§le moteur "
"477";"-";"+";"-";"-";"<E>";" être";"la dernière ";"mouture";"+";"-";"+";"-";"-";"-";"-";"+";"+";"+";"§être§la dernière mouture "
"478";"-";"+";"-";"-";"<E>";" être";"une ancienne";"mouture";"+";"-";"+";"-";"-";"-";"-";"+";"+";"+";"§être§une ancienne mouture "
"479";"-";"+";"-";"-";"<E>";" être";"une nouvelle";"mouture";"+";"-";"+";"-";"-";"-";"-";"+";"+";"+";"§être§une nouvelle mouture "
"480";"-";"+";"-";"-";"<E>";" être";"une ";"mouture récente";"+";"-";"+";"-";"-";"-";"-";"+";"+";"+";"§être§une mouture récente "
"481";"+";"-";"-";"-";"<E>";" être";"la";"muse";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"§être§la muse "
"482";"+";"-";"-";"-";"<E>";" être";"le dernier";"né";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"§être§le dernier né "
"483";"-";"+";"-";"-";"<E>";" être";"le dernier";"né";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"§être§le dernier né "
"484";"-";"+";"-";"-";"<E>";" être";"le";"nec plus ultra";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"§être§le nec plus ultra "
"485";"+";"-";"-";"-";"<E>";" être";"le";"nègre";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"§être§le nègre "
"486";"+";"-";"-";"-";"<E>";" être";"un";"neveu";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§un neveu "
"487";"+";"-";"-";"-";"<E>";" être";"un petit-";"neveu";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§un petit-neveu "
"488";"+";"-";"-";"-";"<E>";" être";"un";"neveu éloigné";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"§être§un neveu éloigné "
"489";"-";"+";"-";"-";"<E>";" être";"un";"nid";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"§être§un nid "
"490";"+";"-";"-";"-";"<E>";" être";"une";"nièce";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§une nièce "
"491";"+";"-";"-";"-";"<E>";" être";"une petite";"nièce";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§une petite nièce "
"492";"+";"-";"-";"-";"<E>";" être";"une";"nièce éloignée";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"§être§une nièce éloignée "
"493";"-";"+";"-";"-";"<E>";" être";"le plus bas";"niveau historique";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"§être§le plus bas niveau historique "
"494";"-";"+";"-";"-";"<E>";" être";"le plus haut";"niveau historique";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"§être§le plus haut niveau historique "
"495";"+";"-";"-";"-";"<E>";" être";"un";"nom";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"§être§un nom "
