"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"<ENT>Prép1";"<ENT>Det1";"N1 =: Nhum";"N1 =: N-hum";"<ENT>C1";"<ENT>Prép2";"<ENT>Det2";"<ENT>C2";"N2 =: Nhum";"N2 =: N-hum";"<ENT>Prép3";"<ENT>Det3";"<ENT>C3";"N3 =: Nhum";"N3 =: N-hum";"Prép3 N3 = Ppv";"[passif]";"Exemple"
"11";"+";"-";"-";"-";"-";"<E>";" accuser";"<E>";"bonne";"-";"-";" réception";"de";"<E>";"<E>";"+";"-";"à";"<E>";"<E>";"+";"-";"+";"-";"§accuser§bonne réception d'à "
"12";"+";"-";"-";"-";"-";"<E>";" acheter";"<E>";"<E>";"-";"+";" <E>";"<E>";"<E>";"ferme";"-";"-";"et à";"le";"comptant";"-";"-";"-";"+";"§acheter§ferme et au comptant "
"13";"+";"-";"-";"-";"-";"<E>";" aller";"<E>";"<E>";"-";"-";" bras dessus";"<E>";"<E>";"bras dessous";"-";"-";"avec";"<E>";"<E>";"+";"-";"-";"-";"§aller§bras dessus bras dessous avec "
"14";"+";"+";"-";"+";"-";"en";" apprendre";"<E>";"de";"-";"-";" belles";"sur";"<E>";"<E>";"-";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§en apprendre§de belles sur à "
"15";"+";"+";"-";"+";"-";"en";" apprendre";"<E>";"un";"-";"-";" bout";"sur";"<E>";"<E>";"-";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§en apprendre§un bout sur à "
"16";"+";"+";"-";"+";"-";"en";" apprendre";"<E>";"de";"-";"-";" drôles";"sur";"<E>";"<E>";"-";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§en apprendre§de drôles sur à "
"17";"+";"+";"-";"+";"+";"n'en";" apprendre";"<E>";"<E>";"-";"-";" gras";"sur";"<E>";"<E>";"-";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§n'en apprendre§gras sur à "
"18";"+";"+";"-";"+";"-";"en";" apprendre";"<E>";"<E>";"-";"-";" long";"sur";"<E>";"<E>";"-";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§en apprendre§long sur à "
"19";"+";"+";"-";"+";"+";"n'en";" apprendre";"<E>";"<E>";"-";"-";" lourd";"sur";"<E>";"<E>";"-";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§n'en apprendre§lourd sur à "
"20";"+";"+";"-";"+";"-";"en";" apprendre";"<E>";"un";"-";"-";" rayon";"sur";"<E>";"<E>";"-";"+";"à";"<E>";"<E>";"+";"-";"+";"+";"§en apprendre§un rayon sur à "
"21";"+";"+";"-";"-";"-";"<E>";" avoir";"<E>";"une";"-";"-";" chose";"en";"<E>";"commun";"-";"-";"avec";"<E>";"<E>";"+";"+";"-";"-";"§a§une chose en commun avec "
"22";"+";"-";"-";"-";"-";"<E>";" avoir";"<E>";"<E>";"-";"-";" dévolu";"<E>";"Det";"rôle";"-";"-";"à";"<E>";"<E>";"+";"-";"+";"+";"§a§dévolu un rôle à "
"23";"+";"-";"-";"-";"-";"<E>";" avoir";"<E>";"<E>";"-";"-";" eu";"<E>";"un";"mot malheureux";"-";"-";"pour";"<E>";"<E>";"+";"+";"-";"-";"§a§eu un mot malheureux pour "
"24";"-";"+";"-";"-";"-";"<E>";" avoir";"<E>";"<E>";"-";"-";" imbu";"<E>";"<E>";"<E>";"+";"-";"de";"certains";"principes";"-";"-";"-";"+";"§a§imbu de certains principes "
"25";"-";"+";"-";"-";"-";"<E>";" avoir";"<E>";"<E>";"-";"-";" imbu";"<E>";"<E>";"<E>";"+";"-";"de";"Poss1";"supériorité";"-";"-";"-";"+";"§a§imbu de sa supériorité "
"26";"-";"+";"-";"-";"-";"<E>";" avoir";"<E>";"<E>";"-";"-";" imbu";"<E>";"<E>";"<E>";"+";"-";"de";"Poss1";"personne";"-";"-";"-";"+";"§a§imbu de sa personne "
"27";"+";"-";"-";"-";"+";"n'";" avoir";"<E>";"<E>";"-";"-";" jamais";"<E>";"<E>";"vu";"-";"-";"<E>";"<E>";"ça";"-";"-";"-";"-";"§n'a§jamais vu ça "
"28";"+";"-";"-";"+";"-";"en";" avoir";"<E>";"<E>";"-";"-";" long à dire";"sur";"<E>";"<E>";"+";"+";"à";"<E>";"<E>";"+";"-";"+";"-";"§en a§long à dire sur à "
"29";"+";"-";"-";"-";"-";"<E>";" avoir";"<E>";"<E>";"-";"-";" maille";"à";"<E>";"partir";"-";"-";"avec";"<E>";"<E>";"+";"-";"-";"-";"§a§maille à partir avec "
"30";"+";"-";"-";"-";"-";"<E>";" avoir";"<E>";"tous les";"-";"-";" malheurs";"<E>";"<E>";"possibles";"-";"-";"et";"<E>";"imaginables";"-";"-";"-";"-";"§a§tous les malheurs possibles et imaginables "
"31";"-";"+";"-";"-";"-";"<E>";" avoir";"<E>";"<E>";"-";"-";" moulu";"<E>";"<E>";"<E>";"+";"-";"de";"<E>";"fatigue";"-";"-";"-";"+";"§a§moulu de fatigue "
"32";"+";"-";"-";"-";"-";"<E>";" avoir";"<E>";"tous les";"-";"-";" N-hum";"<E>";"<E>";"possibles";"-";"-";"et";"<E>";"imaginables";"-";"-";"-";"-";"§a§tous les N-hum possibles et imaginables "
"33";"+";"-";"-";"-";"+";"n'";" avoir";"<E>";"de";"-";"-";" ordres";"à";"<E>";"recevoir";"-";"-";"de";"<E>";"personne";"-";"-";"-";"-";"§n'a§d'ordres à recevoir de personne "
