"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Prép1";"<ENT>Det1";"<ENT>Adj1";"<ENT>C1";"N0 être Prép1 Det1 C1";"Prép1 C1 = où ?";"Exemple"
"244";"-";"+";"-";"-";"-";"<E>";"être";"de";"une";"autre";"époque";"-";"-";"§être§d'une autre époque "
"245";"+";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"rude";"épreuve";"-";"-";"§être§à rude épreuve "
"246";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"grand";"équipage";"-";"-";"§être§en grand équipage "
"247";"+";"+";"-";"-";"-";"<E>";"être";"sous";"<E>";"bonne";"escorte";"+";"-";"§être§sous bonne escorte "
"248";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"double";"espace";"-";"-";"§être§en double espace "
"249";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"double";"espacement";"-";"-";"§être§en double espacement "
"250";"+";"+";"-";"-";"-";"<E>";"être";"de";"la";"pire";"espèce";"-";"-";"§être§de la pire espèce "
"251";"+";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"bas";"étage";"-";"-";"§être§de bas étage "
"252";"-";"+";"-";"-";"-";"<E>";"être";"à";"Poss0";"Dnum-ième";"étape";"-";"-";"§être§à sa Dnum-ième étape "
"253";"-";"+";"-";"-";"-";"<E>";"être";"dans";"Poss0";"Dnum-ième";"étape";"-";"-";"§être§dans sa Dnum-ième étape "
