"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Det1";"<ENT>Prépc";"<ENT>Detc";"<ENT>Cc";"N0 être Det1 Prépc Detc Cc N1";"N0 être Det1 N1 Prépc Detc Cc";"Exemple"
"223";"-";"+";"-";"<E>";" être";"un";"de";"ma";"façon";"-";"+";"§être§un de ma façon "
"224";"-";"+";"-";"<E>";" être";"un";"à";"un";"facteur multiplicatif près";"-";"-";"§être§un à un facteur multiplicatif près "
"225";"-";"+";"-";"<E>";" être";"un";"à";"un";"facteur près";"-";"-";"§être§un à un facteur près "
"226";"+";"+";"-";"<E>";" être";"un";"comme";"l'on n'en";"faire plus";"-";"+";"§être§un comme l'on n'en fait plus "
"227";"+";"+";"-";"<E>";" être";"un";"comme";"on n'en";"faire plus";"-";"+";"§être§un comme on n'en fait plus "
"228";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"fait";"-";"+";"§être§un de fait "
"229";"+";"-";"-";"<E>";" être";"<E>";"<E>";"<E>";"fait épicier";"-";"+";"§être§fait épicier "
"230";"+";"-";"-";"<E>";" être";"<E>";"<E>";"<E>";"fait femme";"-";"+";"§être§fait femme "
"231";"+";"-";"-";"<E>";" être";"<E>";"<E>";"<E>";"fait homme";"-";"+";"§être§fait homme "
"232";"+";"-";"-";"<E>";" être";"<E>";"<E>";"<E>";"fait Nhum";"-";"+";"§être§fait Nhum "
"233";"-";"+";"-";"<E>";" être";"un";"<E>";"<E>";"fameux";"-";"+";"§être§un fameux "
"234";"+";"+";"-";"<E>";" être";"un";"de";"les";"familles";"-";"+";"§être§un de les familles "
"235";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"fantôme";"-";"+";"§être§un fantôme "
"236";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"farceur";"-";"+";"§être§un farceur "
"237";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"faveur";"-";"+";"§être§un de faveur "
"238";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"femme";"-";"+";"§être§un de femme "
"239";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"femme soûle";"-";"+";"§être§un de femme soûle"
"240";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"fétiche";"-";"+";"§être§un fétiche "
"241";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"fichu";"+";"-";"§être§un fichu "
"242";"+";"-";"-";"<E>";" être";"un";"<E>";"<E>";"fieffé";"+";"-";"§être§un fieffé "
"243";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"fil";"-";"+";"§être§un de fil "
"244";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"fillette";"-";"+";"§être§un de fillette "
"245";"+";"+";"-";"<E>";" être";"<E>";"<E>";"<E>";"final";"-";"+";"§être§final "
"246";"+";"-";"-";"<E>";" être";"un";"<E>";"<E>";"fini";"-";"+";"§être§un fini "
"247";"+";"+";"-";"<E>";" être";"un";"à";"la";"flan";"-";"+";"§être§un à la flan "
"248";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"fonction";"-";"+";"§être§un de fonction "
"249";"+";"+";"-";"<E>";" être";"<E>";"de";"<E>";"fond";"-";"+";"§être§de fond "
"250";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"fond";"-";"+";"§être§un de fond "
"251";"-";"+";"-";"<E>";" être";"un";"<E>";"grand";"format";"-";"+";"§être§un grand format "
"252";"-";"+";"-";"<E>";" être";"un";"<E>";"petit";"format";"-";"+";"§être§un petit format "
"253";"+";"-";"-";"<E>";" être";"un";"de";"mauvaise";"fortune";"-";"+";"§être§un de mauvaise fortune "
"254";"+";"-";"-";"<E>";" être";"un";"de";"bonne";"fortune";"-";"+";"§être§un de bonne fortune "
"255";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"fortune";"-";"+";"§être§un de fortune "
"256";"-";"+";"-";"<E>";" être";"un";"<E>";"<E>";"fourre-tout";"-";"+";"§être§un fourre-tout "
"257";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"foutu";"+";"-";"§être§un foutu "
"258";"+";"+";"-";"<E>";" être";"<E>";"<E>";"plus de";"France et de Navarre";"-";"+";"§être§plus de France et de Navarre "
"259";"-";"+";"-";"<E>";" être";"un";"<E>";"<E>";"frontière";"-";"+";"§être§un frontière "
"260";"+";"+";"-";"<E>";" être";"<E>";"<E>";"<E>";"futur";"+";"+";"§être§futur "
"261";"+";"+";"-";"<E>";" être";"un";"de";"<E>";"futur";"-";"+";"§être§un de futur "
"262";"-";"+";"-";"<E>";" être";"un";"<E>";"<E>";"fleuve";"-";"+";"§être§un fleuve "
"263";"-";"+";"-";"<E>";" être";"un";"<E>";"<E>";"gadget";"-";"+";"§être§un gadget "
