"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: se figé";"<ENT>Ppv";"<ENT>V";"C1 =: Npc0";"<ENT>Det1";"<ENT>C1";"N0 V Det1 C1";"<ENT>Prép2";"N2 =: Nhum";"N2 =: N-hum";"Prép2 N2hum = Ppv =: lui";"Prép2 N2-hum = Ppv";"sur N2 = dessus N2";"[passif]";"Exemple"
"193";"+";"+";"-";"<E>";" donner";"-";"un";" exemple";"+";" à";"+";"-";"+";"-";"-";"+";"§donner§un exemple à "
"194";"-";"+";"-";"<E>";" donner";"-";"de le";" exercice";"-";" à";"+";"-";"+";"-";"-";"-";"§donner§de l'exercice à "
"195";"+";"-";"-";"<E>";" donner";"-";"une";" fessée";"-";" à";"+";"-";"+";"-";"-";"+";"§donner§une fessée à "
"196";"+";"-";"-";"<E>";" donner";"-";"une";" fille";"-";" à";"+";"-";"+";"-";"-";"+";"§donner§une fille à "
"197";"+";"+";"-";"<E>";" donner";"-";"un";" gage de N-hum";"-";" à";"+";"-";"+";"-";"-";"+";"§donner§un gage de N-hum à "
"198";"+";"-";"-";"<E>";" donner";"-";"un";" gage de sérieux";"+";" à";"+";"-";"+";"-";"-";"+";"§donner§un gage de sérieux à "
"199";"+";"-";"-";"<E>";" donner";"-";"un";" garçon";"-";" à";"+";"-";"+";"-";"-";"+";"§donner§un garçon à "
"200";"+";"-";"-";"<E>";" donner";"-";"un";" héritier";"-";" à";"+";"-";"+";"-";"-";"+";"§donner§un héritier à "
"201";"+";"+";"-";"<E>";" donner";"-";"des";" idées";"-";" à";"+";"-";"+";"-";"-";"+";"§donner§des idées à "
"202";"-";"+";"-";"<E>";" donner";"-";"une certaine";" image";"-";" à";"+";"-";"+";"-";"-";"+";"§donner§une certaine image à "
"203";"-";"+";"-";"<E>";" donner";"-";"des";" jambes";"-";" à";"+";"-";"+";"-";"-";"-";"§donner§des jambes à "
"204";"+";"-";"-";"<E>";" donner";"-";"Dnum";" jour";"-";" à";"+";"-";"+";"-";"-";"-";"§donner§Dnum jour à "
"205";"+";"+";"-";"<E>";" donner";"-";"une";" leçon";"-";" à";"+";"-";"+";"-";"-";"+";"§donner§une leçon à "
"206";"+";"-";"-";"<E>";" donner";"-";"des";" leçons";"-";" à";"+";"-";"+";"-";"-";"-";"§donner§des leçons à "
"207";"+";"-";"-";"<E>";" donner";"-";"Dnum";" mois";"-";" à";"+";"-";"+";"-";"-";"-";"§donner§Dnum mois à "
"208";"+";"-";"-";"<E>";" donner";"-";"du";" Monsieur le Comte";"-";" à";"+";"-";"+";"-";"-";"-";"§donner§du Monsieur le Comte à "
"209";"+";"-";"-";"<E>";" donner";"-";"un faux";" nom";"-";" à";"+";"-";"+";"-";"-";"+";"§donner§un faux nom à "
"210";"+";"-";"-";"<E>";" donner";"-";"des";" noms d'oiseaux";"-";" à";"+";"-";"+";"-";"-";"+";"§donner§des noms d'oiseaux à "
"211";"+";"-";"-";"<E>";" donner";"-";"du";" Ntitre";"-";" à";"+";"-";"+";"-";"-";"-";"§donner§du Ntitre à "
"212";"+";"-";"-";"<E>";" donner";"-";"du";" plat de la langue";"-";" à";"+";"-";"+";"-";"-";"-";"§donner§du plat de la langue à "
"213";"+";"+";"-";"<E>";" donner";"-";"des";" points";"-";" à";"+";"-";"+";"-";"-";"-";"§donner§des points à "
"214";"+";"+";"-";"<E>";" donner";"-";"une";" réponse";"-";" à";"+";"-";"+";"-";"-";"+";"§donner§une réponse à "
"215";"+";"+";"-";"<E>";" donner";"-";"des";" satisfactions";"-";" à";"+";"-";"+";"-";"-";"+";"§donner§des satisfactions à "
"216";"+";"-";"-";"<E>";" donner";"-";"Dnum";" semaine";"-";" à";"+";"-";"+";"-";"-";"-";"§donner§Dnum semaine à "
"217";"+";"+";"-";"<E>";" donner";"-";"une";" semonce";"-";" à";"+";"-";"+";"-";"-";"+";"§donner§une semonce à "
"218";"+";"+";"-";"<E>";" donner";"-";"un";" signal";"+";" à";"+";"-";"+";"-";"-";"+";"§donner§un signal à "
"219";"-";"+";"-";"<E>";" donner";"-";"un certain";" tableau";"-";" à";"+";"-";"+";"-";"-";"+";"§donner§un certain tableau à "
"220";"+";"-";"-";"<E>";" donner";"-";"un";" tour de clé";"-";" à";"-";"+";"-";"+";"-";"+";"§donner§un tour de clé à "
"221";"+";"+";"-";"<E>";" donner";"-";"un";" tour de vis";"+";" à";"+";"+";"+";"-";"-";"+";"§donner§un tour de vis à "
"222";"+";"-";"-";"<E>";" donner";"-";"un";" tour de vis";"-";" à";"-";"+";"-";"+";"-";"+";"§donner§un tour de vis à "
"223";"+";"-";"-";"<E>";" donner";"-";"du";" travail";"-";" à";"+";"-";"+";"-";"-";"+";"§donner§du travail à "
"224";"-";"+";"-";"<E>";" donner";"-";"une";" trêve";"-";" à";"+";"-";"+";"-";"-";"+";"§donner§une trêve à "
"225";"+";"-";"-";"<E>";" donner";"-";"de la";" voix";"+";" contre";"+";"+";"-";"-";"-";"-";"§donner§de la voix contre "
"226";"+";"-";"-";"<E>";" dresser";"-";"une";" contravention";"-";" à";"+";"-";"+";"-";"-";"+";"§dresser§une contravention à "
"227";"+";"-";"-";"<E>";" dresser";"-";"une";" objection";"+";" contre";"+";"+";"-";"-";"-";"+";"§dresser§une objection contre "
"228";"+";"-";"-";"<E>";" dresser";"-";"un";" piège";"-";" à";"+";"-";"+";"-";"-";"+";"§dresser§un piège à "
"229";"+";"-";"-";"<E>";" dresser";"-";"un";" procès verbal";"-";" à";"+";"-";"+";"-";"-";"+";"§dresser§un procès verbal à "
"230";"+";"-";"-";"<E>";" dresser";"-";"un";" réquisitoire";"+";" contre";"+";"+";"-";"-";"-";"+";"§dresser§un réquisitoire contre "
"231";"+";"-";"-";"<E>";" dresser";"-";"une";" souricière";"-";" à";"+";"-";"+";"-";"-";"+";"§dresser§une souricière à "
"232";"+";"-";"-";"<E>";" échanger";"-";"des";" aménités";"-";" avec";"+";"-";"-";"-";"-";"+";"§échanger§des aménités avec "
"233";"+";"-";"-";"<E>";" échanger";"-";"un";" coup d'oeil";"-";" avec";"+";"-";"-";"-";"-";"+";"§échanger§un coup d'oeil avec "
"234";"+";"-";"-";"<E>";" échanger";"-";"des";" coups";"-";" avec";"+";"-";"-";"-";"-";"+";"§échanger§des coups avec "
"235";"+";"-";"-";"<E>";" échanger";"-";"des";" idées";"-";" avec";"+";"-";"-";"-";"-";"+";"§échanger§des idées avec "
"236";"+";"-";"-";"<E>";" échanger";"-";"des";" impressions";"-";" avec";"+";"-";"-";"-";"-";"+";"§échanger§des impressions avec "
"237";"+";"-";"-";"<E>";" échanger";"-";"certaines";" injures";"-";" avec";"+";"-";"-";"-";"-";"+";"§échanger§certaines injures avec "
"238";"+";"-";"-";"<E>";" échanger";"-";"certaines";" insultes";"-";" avec";"+";"-";"-";"-";"-";"+";"§échanger§certaines insultes avec "
"239";"+";"-";"-";"<E>";" échanger";"-";"des";" mots";"-";" avec";"+";"-";"-";"-";"-";"+";"§échanger§des mots avec "
"240";"+";"-";"-";"<E>";" échanger";"-";"certaines";" paroles";"-";" avec";"+";"-";"-";"-";"-";"+";"§échanger§certaines paroles avec "
"241";"+";"-";"-";"<E>";" échanger";"-";"une";" poignée de main";"-";" avec";"+";"-";"-";"-";"-";"+";"§échanger§une poignée de main avec "
"242";"+";"-";"-";"<E>";" échanger";"-";"des";" politesses";"-";" avec";"+";"-";"-";"-";"-";"+";"§échanger§des politesses avec "
"243";"+";"-";"-";"<E>";" échanger";"-";"certains";" propos";"-";" avec";"+";"-";"-";"-";"-";"+";"§échanger§certains propos avec "
"244";"+";"-";"-";"<E>";" échanger";"-";"un";" regard";"-";" avec";"+";"-";"-";"-";"-";"+";"§échanger§un regard avec "
"245";"+";"-";"-";"<E>";" échanger";"-";"un";" salut";"-";" avec";"+";"-";"-";"-";"-";"+";"§échanger§un salut avec "
"246";"+";"-";"-";"<E>";" échanger";"-";"des";" serments";"-";" avec";"+";"-";"-";"-";"-";"+";"§échanger§des serments avec "
"247";"+";"-";"-";"<E>";" échanger";"-";"des";" vues";"-";" avec";"+";"-";"-";"-";"-";"+";"§échanger§des vues avec "
"248";"+";"-";"-";"<E>";" élever";"-";"une";" critique";"+";" contre";"+";"+";"-";"-";"-";"+";"§élever§une critique contre "
"249";"+";"-";"-";"<E>";" élever";"-";"un";" doute";"-";" sur";"-";"+";"-";"-";"-";"+";"§élever§un doute sur "
"250";"+";"-";"-";"<E>";" élever";"-";"une";" objection";"+";" contre";"+";"+";"-";"-";"-";"+";"§élever§une objection contre "
"251";"+";"-";"-";"<E>";" élever";"-";"un";" obstacle";"+";" contre";"+";"+";"-";"-";"-";"+";"§élever§un obstacle contre "
"252";"+";"-";"-";"<E>";" élever";"-";"une";" protestation";"+";" contre";"+";"+";"-";"-";"-";"+";"§élever§une protestation contre "
"253";"+";"-";"-";"<E>";" émettre";"-";"un";" avis";"+";" sur";"+";"+";"-";"-";"+";"+";"§émettre§un avis sur "
"254";"+";"-";"-";"<E>";" engager";"-";"une";" action";"-";" contre";"+";"-";"-";"-";"-";"+";"§engager§une action contre "
"255";"+";"-";"-";"<E>";" engager";"-";"une";" bataille";"+";" avec";"+";"-";"-";"-";"-";"+";"§engager§une bataille avec "
"256";"+";"-";"-";"<E>";" engager";"-";"un";" combat";"+";" avec";"+";"-";"-";"-";"-";"+";"§engager§un combat avec "
"257";"+";"-";"-";"<E>";" engager";"-";"une";" conversation";"-";" avec";"+";"-";"-";"-";"-";"+";"§engager§une conversation avec "
"258";"+";"-";"-";"<E>";" engager";"-";"une";" lutte";"+";" avec";"+";"-";"-";"-";"-";"+";"§engager§une lutte avec "
"259";"+";"-";"-";"<E>";" engager";"-";"une";" négociation";"-";" avec";"+";"-";"-";"-";"-";"+";"§engager§une négociation avec "
"260";"+";"-";"-";"<E>";" engager";"-";"une";" partie";"-";" avec";"+";"-";"-";"-";"-";"+";"§engager§une partie avec "
"261";"+";"-";"-";"<E>";" engager";"-";"une";" partie de bras de fer";"-";" avec";"+";"-";"-";"-";"-";"+";"§engager§une partie de bras de fer avec "
"262";"+";"-";"-";"<E>";" engager";"-";"des";" pourparlers";"-";" avec";"+";"-";"-";"-";"-";"+";"§engager§des pourparlers avec "
"263";"+";"-";"-";"<E>";" engager";"-";"des";" poursuites";"-";" contre";"+";"-";"-";"-";"-";"+";"§engager§des poursuites contre "
"264";"+";"-";"-";"<E>";" engager";"-";"un";" procès";"+";" contre";"+";"-";"-";"-";"-";"+";"§engager§un procès contre "
"265";"+";"-";"-";"<E>";" entamer";"-";"une";" action";"-";" contre";"+";"-";"-";"-";"-";"+";"§entamer§une action contre "
"266";"+";"-";"-";"<E>";" entamer";"-";"une";" conversation";"-";" avec";"+";"-";"-";"-";"-";"+";"§entamer§une conversation avec "
"267";"+";"-";"-";"<E>";" entamer";"-";"une";" négociation";"-";" avec";"+";"-";"-";"-";"-";"+";"§entamer§une négociation avec "
"268";"+";"-";"-";"<E>";" entamer";"-";"une";" partie";"-";" avec";"+";"-";"-";"-";"-";"+";"§entamer§une partie avec "
"269";"+";"-";"-";"<E>";" entamer";"-";"une";" partie de bras de fer";"-";" avec";"+";"-";"-";"-";"-";"+";"§entamer§une partie de bras de fer avec "
"270";"+";"-";"-";"<E>";" entamer";"-";"des";" pourparlers";"-";" avec";"+";"-";"-";"-";"-";"+";"§entamer§des pourparlers avec "
"271";"+";"-";"-";"<E>";" entamer";"-";"des";" poursuites";"-";" contre";"+";"-";"-";"-";"-";"+";"§entamer§des poursuites contre "
"272";"+";"-";"-";"<E>";" entamer";"-";"des";" poursuites";"-";" contre";"+";"-";"-";"-";"-";"+";"§entamer§des poursuites contre "
"273";"+";"-";"-";"<E>";" entamer";"-";"un";" procès";"+";" contre";"+";"-";"-";"-";"-";"+";"§entamer§un procès contre "
"274";"+";"+";"-";"<E>";" entrouvrir";"-";"une";" porte";"-";" à";"-";"+";"-";"-";"-";"+";"§entrouvrir§une porte à "
"275";"+";"-";"-";"<E>";" envoyer";"-";"un";" baiser";"-";" à";"+";"-";"+";"-";"-";"+";"§envoyer§un baiser à "
"276";"+";"-";"-";"<E>";" envoyer";"-";"des";" fleurs";"-";" à";"+";"-";"+";"-";"-";"+";"§envoyer§des fleurs à "
"277";"+";"-";"-";"<E>";" envoyer";"-";"une";" vanne";"-";" à";"+";"-";"+";"-";"-";"+";"§envoyer§une vanne à "
"278";"+";"+";"-";"<E>";" établir";"-";"une";" comparaison";"-";" entre";"+";"+";"-";"-";"-";"+";"§établir§une comparaison entre "
"279";"+";"+";"-";"<E>";" établir";"-";"un";" courant";"-";" entre";"+";"-";"-";"-";"-";"+";"§établir§un courant entre "
"280";"+";"+";"-";"<E>";" établir";"-";"un";" parallèle";"-";" entre";"+";"+";"-";"-";"-";"+";"§établir§un parallèle entre "
"281";"+";"-";"-";"<E>";" établir";"-";"une";" tête de pont";"+";" Loc";"-";"+";"-";"+";"-";"+";"§établir§une tête de pont Loc "
"282";"-";"+";"-";"<E>";" éveiller";"-";"des vieux";" démons";"+";" en";"+";"-";"-";"-";"-";"+";"§éveiller§des vieux démons en "
"283";"-";"+";"-";"<E>";" éveiller";"-";"de vieux";" démons";"+";" en";"+";"-";"-";"-";"-";"+";"§éveiller§de vieux démons en "
"284";"+";"+";"-";"<E>";" éveiller";"-";"un";" écho";"+";" en";"+";"-";"-";"-";"-";"+";"§éveiller§un écho en "
"285";"-";"+";"-";"<E>";" éveiller";"-";"un";" soupçon";"-";" Loc";"+";"-";"-";"-";"-";"+";"§éveiller§un soupçon Loc "
"286";"+";"+";"-";"<E>";" éveiller";"-";"un";" souvenir";"+";" en";"+";"-";"-";"-";"-";"+";"§éveiller§un souvenir en "
"287";"+";"+";"-";"<E>";" exercer";"-";"une";" domination";"+";" sur";"+";"+";"-";"-";"+";"+";"§exercer§une domination sur "
"288";"+";"+";"-";"<E>";" exercer";"-";"un";" pouvoir";"+";" sur";"+";"+";"-";"-";"+";"+";"§exercer§un pouvoir sur "
"289";"+";"+";"-";"<E>";" exercer";"-";"une";" pression";"+";" sur";"+";"+";"-";"-";"+";"+";"§exercer§une pression sur "
"290";"+";"+";"-";"<E>";" exercer";"-";"une";" surveillance";"+";" sur";"+";"+";"-";"-";"+";"+";"§exercer§une surveillance sur "
"291";"+";"-";"-";"<E>";" exposer";"-";"un";" cas";"-";" à";"+";"-";"+";"-";"-";"+";"§exposer§un cas à "
"292";"+";"+";"-";"<E>";" faire";"-";"un certain";" accueuil";"-";" à";"+";"-";"+";"-";"-";"+";"§fait§un certain accueuil à "
"293";"+";"-";"-";"<E>";" faire";"-";"des";" affaires";"+";" avec";"+";"-";"-";"-";"-";"+";"§fait§des affaits avec "
"294";"+";"-";"-";"<E>";" faire";"-";"un";" appel du pied";"-";" à";"+";"-";"+";"-";"-";"+";"§fait§un appel du pied à "
"295";"+";"-";"-";"<E>";" faire";"-";"des";" avances";"-";" à";"+";"-";"+";"-";"-";"+";"§fait§des avances à "
"296";"+";"-";"-";"<E>";" faire";"-";"des";" balles";"+";" avec";"+";"-";"-";"-";"-";"-";"§fait§des balles avec "
"297";"+";"+";"-";"<E>";" faire";"-";"du";" bien";"+";" à";"+";"-";"+";"-";"-";"+";"§fait§du bien à "
"298";"+";"+";"-";"<E>";" faire";"-";"du";" bien";"+";" à";"+";"-";"+";"-";"-";"-";"§fait§du bien à "
"299";"+";"-";"+";"se";" faire";"+";"de la";" bile";"+";" Loc";"+";"+";"-";"-";"-";"-";"§se fait§de la bile Loc "
"300";"+";"+";"-";"<E>";" faire";"-";"un";" bobo";"-";" à";"+";"-";"+";"-";"-";"+";"§fait§un bobo à "
"301";"+";"+";"-";"<E>";" faire";"-";"une";" brèche";"-";" Loc";"-";"+";"-";"+";"-";"+";"§fait§une brèche Loc "
"302";"+";"-";"-";"<E>";" faire";"-";"un";" brin de causette";"-";" avec";"+";"-";"-";"-";"-";"-";"§fait§un brin de causette avec "
"303";"+";"-";"-";"<E>";" faire";"-";"un";" brin de conduite";"-";" à";"+";"-";"+";"-";"-";"-";"§fait§un brin de conduite à "
"304";"+";"+";"-";"<E>";" faire";"-";"du";" bruit";"-";" autour";"+";"+";"-";"-";"-";"+";"§fait§du bruit autour "
"305";"+";"-";"-";"<E>";" faire";"-";"une";" carrière";"+";" Loc";"+";"+";"-";"-";"+";"+";"§fait§une carrière Loc "
"306";"+";"-";"-";"<E>";" faire";"-";"un";" carton";"-";" sur";"+";"+";"-";"-";"+";"+";"§fait§un carton sur "
"307";"+";"-";"-";"<E>";" faire";"-";"de la";" chair à pâté";"-";" de";"+";"-";"+";"-";"-";"-";"§fait§de la chair à pâté de "
"308";"+";"+";"+";"se";" faire";"-";"un";" chemin";"+";" Loc";"-";"+";"-";"+";"-";"-";"§se fait§un chemin Loc "
"309";"+";"-";"+";"se";" faire";"+";"des";" cheveux";"+";" pour";"+";"+";"-";"-";"-";"-";"§se fait§des cheveux pour "
"310";"+";"-";"+";"se";" faire";"+";"des";" cheveux blancs";"+";" pour";"+";"+";"-";"-";"-";"-";"§se fait§des cheveux blancs pour "
"311";"+";"-";"-";"<E>";" faire";"-";"des";" choses";"-";" à";"+";"-";"+";"-";"-";"-";"§fait§des choses à "
"312";"-";"+";"-";"<E>";" faire";"-";"des";" choses";"-";" à";"+";"-";"+";"-";"-";"-";"§fait§des choses à "
"313";"+";"-";"-";"<E>";" faire";"-";"une";" communication";"+";" Loc";"-";"+";"-";"+";"-";"+";"§fait§une communication Loc "
"314";"+";"-";"-";"<E>";" faire";"-";"des";" conditions";"-";" à";"+";"-";"+";"-";"-";"-";"§fait§des conditions à "
"315";"+";"+";"-";"<E>";" faire";"-";"une large";" confiance";"-";" à";"+";"+";"+";"-";"-";"+";"§fait§une large confiance à "
"316";"+";"-";"-";"<E>";" faire";"-";"un sale";" coup";"+";" à";"+";"-";"+";"-";"-";"+";"§fait§un sale coup à "
"317";"-";"+";"-";"<E>";" faire";"-";"un";" coup";"+";" à";"+";"-";"+";"-";"-";"-";"§fait§un coup à "
"318";"+";"-";"-";"<E>";" faire";"-";"un";" coup de main";"+";" Loc";"-";"+";"-";"-";"-";"+";"§fait§un coup de main Loc "
"319";"+";"-";"-";"<E>";" faire";"-";"une";" coupe";"-";" Loc";"-";"+";"-";"+";"-";"+";"§fait§une coupe Loc "
"320";"+";"-";"-";"<E>";" faire";"-";"des";" coupes claires";"-";" Loc";"-";"+";"-";"+";"-";"+";"§fait§des coupes claires Loc "
"321";"+";"-";"-";"<E>";" faire";"-";"des";" coupes sombres";"-";" Loc";"-";"+";"-";"+";"-";"+";"§fait§des coupes sombres Loc "
"322";"+";"-";"-";"<E>";" faire";"-";"une";" crasse";"-";" à";"+";"-";"+";"-";"-";"+";"§fait§une crasse à "
"323";"+";"-";"-";"<E>";" faire";"-";"une";" croix";"-";" sur";"-";"+";"-";"-";"+";"+";"§fait§une croix sur "
"324";"+";"-";"-";"<E>";" faire";"-";"une";" demande";"-";" à";"+";"-";"+";"-";"-";"+";"§fait§une demande à "
"325";"+";"-";"-";"<E>";" faire";"-";"un";" dessin";"-";" à";"+";"-";"+";"-";"-";"-";"§fait§un dessin à "
"326";"+";"-";"-";"<E>";" faire";"-";"une";" différence";"-";" entre";"+";"-";"-";"-";"-";"+";"§fait§une différence entre "
"327";"+";"+";"-";"<E>";" faire";"-";"des";" difficultés";"-";" à";"+";"-";"+";"-";"-";"+";"§fait§des difficultés à "
"328";"+";"+";"-";"<E>";" faire";"-";"de le";" effet";"+";" à";"+";"+";"-";"-";"-";"+";"§fait§de l'effet à "
"329";"+";"-";"-";"<E>";" faire";"-";"un";" exemple";"+";" de";"+";"+";"-";"+";"-";"+";"§fait§un exemple de "
"330";"+";"+";"-";"<E>";" faire";"-";"un";" exemple Adj";"-";" de";"+";"+";"-";"+";"-";"+";"§fait§un exemple Adj de "
"331";"+";"-";"-";"<E>";" faire";"-";"des";" facilités";"+";" à";"+";"-";"+";"-";"-";"+";"§fait§des facilités à "
"332";"+";"-";"-";"<E>";" faire";"-";"des";" facilités de paiement";"+";" à";"+";"-";"+";"-";"-";"+";"§fait§des facilités de paiement à "
"333";"+";"-";"-";"<E>";" faire";"-";"une";" fleur";"-";" à";"+";"-";"+";"-";"-";"-";"§fait§une fleur à "
"334";"+";"-";"-";"<E>";" faire";"-";"des";" frais";"+";" Loc";"+";"+";"-";"+";"+";"+";"§fait§des frais Loc "
"335";"+";"-";"-";"<E>";" faire";"-";"des";" funérailles";"+";" à";"+";"-";"+";"-";"-";"+";"§fait§des funérailles à "
"336";"+";"-";"-";"<E>";" faire";"-";"un";" geste de bonne volonté";"+";" envers";"+";"-";"-";"-";"-";"+";"§fait§un geste de bonne volonté envers "
"337";"-";"+";"-";"<E>";" faire";"-";"de la";" gratte";"-";" à";"+";"-";"+";"-";"-";"-";"§fait§de la gratte à "
"338";"+";"-";"-";"<E>";" faire";"-";"de la";" gratte";"-";" sur";"-";"+";"-";"-";"+";"-";"§fait§de la gratte sur "
"339";"+";"-";"-";"<E>";" faire";"-";"des";" grimaces";"+";" à";"+";"-";"+";"-";"-";"+";"§fait§des grimaces à "
"340";"+";"-";"-";"<E>";" faire";"-";"du";" gringue";"-";" à";"+";"-";"+";"-";"-";"+";"§fait§du gringue à "
"341";"+";"-";"-";"<E>";" faire";"-";"un";" guili-guili";"-";" à";"+";"-";"+";"-";"-";"+";"§fait§un guili-guili à "
"342";"+";"+";"-";"<E>";" faire";"-";"une";" haie";"-";" à";"+";"-";"+";"-";"-";"+";"§fait§une haie à "
"343";"+";"+";"-";"<E>";" faire";"-";"une";" haie d'honneur";"-";" à";"+";"-";"+";"-";"-";"+";"§fait§une haie d'honneur à "
"344";"+";"+";"-";"<E>";" faire";"-";"des";" histoires";"+";" à";"+";"-";"+";"-";"-";"+";"§fait§des histoires à "
"345";"+";"-";"+";"se";" faire";"-";"une";" idée";"-";" de";"+";"+";"-";"+";"-";"-";"§se fait§une idée de "
"346";"+";"-";"+";"se";" faire";"-";"une";" idée";"+";" sur";"+";"+";"-";"-";"+";"-";"§se fait§une idée sur "
"347";"+";"-";"+";"se";" faire";"-";"des";" idées";"+";" sur";"+";"+";"-";"-";"+";"-";"§se fait§des idées sur "
"348";"+";"-";"+";"se";" faire";"-";"des";" illusions";"+";" sur";"+";"+";"-";"-";"+";"-";"§se fait§des illusions sur "
"349";"+";"-";"-";"<E>";" faire";"-";"des";" invites";"-";" à";"+";"-";"+";"-";"-";"+";"§fait§des invites à "
"350";"-";"+";"-";"<E>";" faire";"+";"une belle";" jambe";"-";" à";"+";"-";"+";"-";"-";"-";"§fait§une belle jambe à "
"351";"+";"-";"-";"<E>";" faire";"-";"un";" lavement";"-";" à";"+";"-";"+";"-";"-";"+";"§fait§un lavement à "
"352";"+";"-";"-";"<E>";" faire";"-";"une";" ligne";"+";" à";"+";"-";"+";"-";"-";"+";"§fait§une ligne à "
"353";"+";"+";"-";"<E>";" faire";"-";"du";" mal";"+";" à";"+";"-";"+";"-";"-";"+";"§fait§du mal à "
"354";"+";"-";"+";"se";" faire";"-";"un";" marchepied";"-";" de";"+";"+";"-";"+";"-";"-";"§se fait§un marchepied de "
"355";"+";"-";"-";"<E>";" faire";"-";"un";" mot";"+";" à";"+";"-";"+";"-";"-";"+";"§fait§un mot à "
"356";"+";"-";"+";"se";" faire";"-";"du";" mouron";"+";" pour";"+";"+";"-";"-";"-";"-";"§se fait§du mouron pour "
"357";"+";"-";"+";"se";" faire";"-";"de la";" mousse";"+";" pour";"+";"+";"-";"-";"-";"-";"§se fait§de la mousse pour "
"358";"+";"-";"-";"<E>";" faire";"+";"de le";" oeil";"-";" à";"+";"-";"+";"-";"-";"-";"§fait§de l'oeil à "
"359";"+";"-";"+";"se";" faire";"-";"une";" opinion";"+";" sur";"+";"+";"-";"-";"-";"-";"§se fait§une opinion sur "
"360";"+";"-";"-";"<E>";" faire";"-";"des";" osèques";"+";" à";"+";"-";"+";"-";"-";"+";"§fait§des osèques à "
"361";"+";"-";"-";"<E>";" faire";"-";"un";" parallèle";"-";" avec";"-";"+";"-";"-";"-";"+";"§fait§un parallèle avec "
"362";"+";"-";"-";"<E>";" faire";"-";"un mauvais";" parti";"-";" à";"+";"-";"+";"-";"-";"+";"§fait§un mauvais parti à "
"363";"+";"-";"-";"<E>";" faire";"-";"quelques";" pas";"+";" Loc";"+";"+";"-";"+";"-";"+";"§fait§quelques pas Loc "
"364";"+";"-";"-";"<E>";" faire";"-";"un grand";" pas";"-";" Loc";"-";"+";"-";"-";"-";"+";"§fait§un grand pas Loc "
"365";"+";"+";"+";"se";" faire";"-";"un";" passage";"+";" Loc";"-";"+";"-";"+";"-";"-";"§se fait§un passage Loc "
"366";"+";"+";"-";"<E>";" faire";"-";"de la";" peine";"+";" à";"+";"-";"+";"-";"-";"+";"§fait§de la peine à "
"367";"+";"-";"-";"<E>";" faire";"+";"du";" pied";"-";" à";"+";"-";"+";"-";"-";"-";"§fait§du pied à "
"368";"+";"+";"-";"<E>";" faire";"-";"une";" place";"+";" à";"+";"+";"+";"-";"-";"+";"§fait§une place à "
"369";"+";"+";"-";"<E>";" faire";"-";"une petite";" place";"+";" à";"+";"+";"+";"-";"-";"+";"§fait§une petite place à "
"370";"+";"+";"-";"<E>";" faire";"-";"une large";" place";"+";" à";"+";"+";"+";"-";"-";"+";"§fait§une large place à "
"371";"+";"+";"-";"<E>";" faire";"-";"une";" place";"+";" pour";"+";"+";"-";"-";"-";"+";"§fait§une place pour "
"372";"+";"-";"-";"<E>";" faire";"-";"du";" plat";"-";" à";"+";"-";"+";"-";"-";"+";"§fait§du plat à "
"373";"+";"-";"-";"<E>";" faire";"-";"du";" plat de la langue";"-";" à";"+";"-";"+";"-";"-";"-";"§fait§du plat de la langue à "
"374";"+";"-";"-";"<E>";" faire";"-";"un";" poisson d'avril";"-";" à";"+";"-";"+";"-";"-";"+";"§fait§un poisson d'avril à "
"375";"+";"+";"-";"<E>";" faire";"-";"un";" prix";"+";" à";"+";"-";"+";"-";"-";"+";"§fait§un prix à "
"376";"+";"-";"-";"<E>";" faire";"-";"un";" procès";"-";" à";"+";"-";"+";"-";"-";"+";"§fait§un procès à "
"377";"+";"-";"-";"<E>";" faire";"-";"un";" profit";"+";" sur";"-";"+";"-";"-";"+";"+";"§fait§un profit sur "
"378";"+";"-";"-";"<E>";" faire";"-";"une";" proposition malhonnête";"-";" à";"+";"-";"+";"-";"-";"+";"§fait§une proposition malhonnête à "
"379";"+";"-";"-";"<E>";" faire";"-";"une";" queue de poisson";"+";" à";"+";"-";"+";"-";"-";"+";"§fait§une queue de poisson à "
"380";"+";"-";"-";"<E>";" faire";"-";"une";" reconnaissance";"+";" Loc";"-";"+";"-";"+";"-";"+";"§fait§une reconnaissance Loc "
"381";"+";"+";"-";"<E>";" faire";"-";"une";" réduction";"+";" à";"+";"-";"+";"-";"-";"+";"§fait§une réduction à "
"382";"+";"-";"-";"<E>";" faire";"-";"du";" rentre-dedans";"-";" à";"+";"-";"+";"-";"-";"-";"§fait§du rentre-dedans à "
"383";"+";"-";"-";"<E>";" faire";"-";"des";" réserves";"-";" sur";"+";"+";"-";"-";"+";"+";"§fait§des réserves sur "
"384";"+";"-";"-";"<E>";" faire";"-";"une";" retraite";"-";" Loc";"+";"+";"-";"+";"-";"+";"§fait§une retraite Loc "
"385";"+";"+";"+";"se";" faire";"-";"une";" route";"+";" Loc";"-";"+";"-";"+";"-";"-";"§se fait§une route Loc "
"386";"+";"-";"-";"<E>";" faire";"-";"une";" saloperie";"-";" à";"+";"-";"+";"-";"-";"+";"§fait§une saloperie à "
